#generated on Wed Aug 20 13:50:50 2014 using mklcbol.pro
#
#INFILE   11fe_lc_bol.dat
#NAME     sn2011fe
#AV_HOST  0.033 +/- 0.011
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 28.910 +/- 0.050
#NFILT    6 (B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
   800.580   5.69809167E+41   5.44341362E+40
   802.168   1.27067937E+42   1.22020844E+41
   802.560   1.50795907E+42   1.44958822E+41
   803.121   1.88945104E+42   1.81926146E+41
   803.550   2.20019295E+42   2.12028674E+41
   804.195   2.73389209E+42   2.63832303E+41
   804.560   2.98244639E+42   2.87863896E+41
   807.148   5.30033772E+42   5.13590042E+41
   808.102   6.21911699E+42   6.03645417E+41
   808.540   6.54872892E+42   6.36069291E+41
   813.113   9.16355518E+42   8.94143740E+41
   815.530   8.40506591E+42   8.19807981E+41
   816.530   8.29468696E+42   8.09354855E+41
   819.133   7.64686307E+42   7.46974920E+41
   820.090   7.36734330E+42   7.20021255E+41
   821.090   7.05119460E+42   6.89654820E+41
   822.090   6.71246650E+42   6.57278413E+41
   822.520   6.61192872E+42   6.47932532E+41
   823.530   6.13790198E+42   6.01899765E+41
   824.090   5.87805913E+42   5.76720102E+41
   825.094   5.44927592E+42   5.34889056E+41
   825.520   5.24168962E+42   5.14550572E+41
   827.121   4.69913843E+42   4.61254986E+41
   827.510   4.58766048E+42   4.50319439E+41
   828.086   4.43806460E+42   4.35519664E+41
   829.510   4.15928631E+42   4.07813743E+41
   830.109   4.05284967E+42   3.97179779E+41
   830.520   3.99927121E+42   3.91785892E+41
   833.090   3.68614648E+42   3.60287097E+41
   834.098   3.58354652E+42   3.49978361E+41
   835.090   3.49083175E+42   3.40671736E+41
   837.086   3.32459376E+42   3.23974968E+41
   838.078   3.25036937E+42   3.16496803E+41
   840.070   3.11558951E+42   3.02833912E+41
   840.500   3.10547583E+42   3.01780432E+41
   841.500   3.01688132E+42   2.92877721E+41
   842.074   2.96519991E+42   2.87640612E+41
   842.500   2.88670676E+42   2.79833880E+41
   844.074   2.65693905E+42   2.56994140E+41
   845.105   2.51698911E+42   2.43228741E+41
   846.094   2.38999368E+42   2.30845646E+41
   848.074   2.15214878E+42   2.07998784E+41
   849.070   2.04280506E+42   1.97564754E+41
   850.066   1.94163304E+42   1.87887210E+41
   851.066   1.84566167E+42   1.78741032E+41
   852.070   1.75587528E+42   1.70174427E+41
   852.900   1.68395212E+42   1.63275306E+41
   853.062   1.67111791E+42   1.62033556E+41
   854.070   1.59306081E+42   1.54536121E+41
   860.070   1.23046986E+42   1.19677392E+41
