#generated on Mon Oct 20 10:59:19 2014 using mklcbol.pro
#
#INFILE   11fe_lc_bol.dat
#NAME     SN2011fe
#AV_HOST  0.033 +/- 0.011
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 28.910 +/- 0.200
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
   800.580   7.09630823E+41   1.12485520E+41
   801.200   9.95128591E+41   1.57843358E+41
   802.168   1.61133275E+42   2.55835373E+41
   802.300   1.71983592E+42   2.73113618E+41
   802.560   1.93201648E+42   3.06880204E+41
   803.121   2.43904592E+42   3.87620619E+41
   803.200   2.51053166E+42   3.98996387E+41
   803.550   2.85533532E+42   4.53912390E+41
   804.195   3.58100806E+42   5.69547821E+41
   804.200   3.59879158E+42   5.72403937E+41
   804.560   3.95134370E+42   6.28555223E+41
   805.200   4.64210485E+42   7.38561629E+41
   806.200   5.81906537E+42   9.26108000E+41
   807.148   6.98356918E+42   1.11186457E+42
   807.300   7.20523794E+42   1.14726372E+42
   808.102   8.25107389E+42   1.31433370E+42
   808.200   8.37684698E+42   1.33443748E+42
   808.540   8.71574168E+42   1.38861296E+42
   809.200   9.49129709E+42   1.51260452E+42
   813.113   1.20043424E+43   1.91449183E+42
   813.200   1.19413980E+43   1.90435885E+42
   814.200   1.18145791E+43   1.88414781E+42
   815.200   1.14425890E+43   1.82482671E+42
   815.530   1.09748942E+43   1.75010423E+42
   816.200   1.08676631E+43   1.73310569E+42
   816.530   1.07208807E+43   1.70966854E+42
   817.200   1.04454093E+43   1.66573671E+42
   818.200   1.00260794E+43   1.59894655E+42
   819.133   9.61418657E+42   1.53343598E+42
   820.090   9.18534078E+42   1.46516320E+42
   821.090   8.72590589E+42   1.39211899E+42
   821.200   8.68037944E+42   1.38489682E+42
   822.090   8.25891885E+42   1.31800350E+42
   822.520   8.10530889E+42   1.29371792E+42
   823.200   7.74141833E+42   1.23584116E+42
   823.530   7.51871960E+42   1.20036592E+42
   824.090   7.18982704E+42   1.14804594E+42
   825.094   6.63835173E+42   1.06013910E+42
   825.520   6.37916954E+42   1.01877499E+42
   826.200   6.05285198E+42   9.66683420E+41
   827.121   5.65445981E+42   9.03023598E+41
   827.510   5.49944890E+42   8.78265221E+41
   828.086   5.28624090E+42   8.44144858E+41
   828.200   5.23722143E+42   8.36294180E+41
   829.510   4.85158763E+42   7.74526341E+41
   830.109   4.68985297E+42   7.48588174E+41
   830.520   4.60019999E+42   7.34199574E+41
   831.200   4.43995157E+42   7.08488261E+41
   833.090   4.10483251E+42   6.54675815E+41
   833.200   4.09396236E+42   6.52929619E+41
   834.098   3.96071108E+42   6.31539930E+41
   835.090   3.82669635E+42   6.10030260E+41
   836.200   3.68966161E+42   5.88030116E+41
   837.086   3.59213619E+42   5.72369092E+41
   838.078   3.49167431E+42   5.56220553E+41
   838.200   3.48750961E+42   5.55546680E+41
   840.070   3.32775362E+42   5.29807532E+41
   840.500   3.31073605E+42   5.27059727E+41
   841.500   3.20729173E+42   5.10419264E+41
   842.074   3.14775572E+42   5.00813202E+41
   842.500   3.06382934E+42   4.87342502E+41
   844.074   2.81574707E+42   4.47536593E+41
   845.105   2.66524145E+42   4.23475239E+41
   846.094   2.52907045E+42   4.01770827E+41
   848.074   2.27524309E+42   3.61521949E+41
   849.070   2.15891723E+42   3.43118522E+41
   850.066   2.05138070E+42   3.26091415E+41
   851.066   1.94958140E+42   3.09993423E+41
   852.070   1.85445737E+42   2.94945038E+41
   852.900   1.77854381E+42   2.82912269E+41
   853.062   1.76495013E+42   2.80751273E+41
   854.070   1.68242150E+42   2.67665067E+41
   860.070   1.30019497E+42   2.07037242E+41
