#generated on Thu Aug 28 17:56:18 2014 using mklcbol.pro
#
#INFILE   01ba_lc_bol.dat
#NAME     01ba
#AV_HOST  0.040 +/- 0.113
#RV_HOST  3.190 +/- 0.000
#AV_MW    0.120 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 35.400 +/- 0.500
#NFILT    5 (B_CSP,V_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
  2030.600   8.81429741E+42   6.11299284E+42
  2031.540   9.12861639E+42   6.33890313E+42
  2031.560   9.13416028E+42   6.34289729E+42
  2032.580   9.35659204E+42   6.50153151E+42
  2032.590   9.36251117E+42   6.50352881E+42
  2033.580   9.41574784E+42   6.54418969E+42
  2034.590   9.27957137E+42   6.45625986E+42
  2037.580   8.57725317E+42   5.96609148E+42
  2038.560   8.22615969E+42   5.72679676E+42
  2040.610   7.58147592E+42   5.29214779E+42
  2042.590   7.00564200E+42   4.89973379E+42
  2044.570   6.22056977E+42   4.35929963E+42
  2045.520   5.76867476E+42   4.04628260E+42
  2045.710   5.63004422E+42   3.94927039E+42
  2046.570   5.34853455E+42   3.75518662E+42
  2047.530   4.95636941E+42   3.48073063E+42
  2047.570   4.93446292E+42   3.46317906E+42
  2048.480   4.64108675E+42   3.25177112E+42
  2048.660   4.56389729E+42   3.19759363E+42
  2049.540   4.31031790E+42   3.01576740E+42
  2051.530   3.93975495E+42   2.74488651E+42
  2052.550   3.76743675E+42   2.61920157E+42
  2053.500   3.60490906E+42   2.50136436E+42
  2054.540   3.45204891E+42   2.38935672E+42
  2055.540   3.33484724E+42   2.30172308E+42
  2055.550   3.34068569E+42   2.30575409E+42
  2057.500   3.16187619E+42   2.17495551E+42
  2057.540   3.15716602E+42   2.17193727E+42
  2059.520   3.07989335E+42   2.11004739E+42
  2060.520   3.06619260E+42   2.09815755E+42
  2061.560   2.99086780E+42   2.04357430E+42
  2061.610   2.81184021E+42   1.91959256E+42
  2063.530   2.48599798E+42   1.69262600E+42
  2064.500   2.50838083E+42   1.70629998E+42
  2066.500   2.43401781E+42   1.65213510E+42
  2067.510   2.32387275E+42   1.57501498E+42
  2068.460   2.19095528E+42   1.48256772E+42
  2068.500   2.20482354E+42   1.49200351E+42
  2069.460   2.08416247E+42   1.40840228E+42
