#generated on Mon Jul 28 16:31:26 2014 using mklcbol.pro
#
#INFILE   sn2005M_lcbol.dat
#NAME     sn2002bo
#AV_HOST  0.850 +/- 0.113
#RV_HOST  2.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 31.900 +/- 0.200
#NFILT    2 (I_Bessell,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 52345.191   6.35523358E+41   1.16313748E+41
 52345.328   6.74698190E+41   1.23615523E+41
 52345.988   8.94524760E+41   1.64665071E+41
 52346.180   8.88270464E+41   1.63339783E+41
 52346.219   8.97123637E+41   1.64983460E+41
 52346.922   1.09112312E+42   2.01117806E+41
 52348.129   1.45915119E+42   2.69799833E+41
 52348.891   1.72039207E+42   3.18675850E+41
 52350.059   1.82142343E+42   3.37106646E+41
 52350.160   1.81447277E+42   3.35913246E+41
 52350.172   1.81939310E+42   3.36837611E+41
 52350.891   2.08515833E+42   3.86756827E+41
 52352.051   2.27103382E+42   4.21516959E+41
 52352.750   2.30215480E+42   4.27269373E+41
 52352.961   2.28189333E+42   4.23413694E+41
 52354.148   2.26848193E+42   4.21465324E+41
 52354.840   2.29244614E+42   4.26075115E+41
 52356.871   2.26270388E+42   4.20787408E+41
 52358.141   2.14241036E+42   3.98566943E+41
 52358.852   2.06030185E+42   3.83217373E+41
 52360.148   1.93453327E+42   3.59731077E+41
 52361.078   1.88373384E+42   3.50318720E+41
 52361.160   1.87703261E+42   3.49067762E+41
 52362.121   1.78331457E+42   3.31678003E+41
 52364.852   1.59464817E+42   2.96275577E+41
 52366.121   1.47986902E+42   2.74586437E+41
 52369.250   1.30045206E+42   2.40528911E+41
 52370.051   1.28434211E+42   2.37084900E+41
 52371.270   1.30700229E+42   2.41120789E+41
 52373.270   1.39635372E+42   2.57589858E+41
 52374.219   1.43205827E+42   2.64132984E+41
 52376.078   1.49235240E+42   2.74737256E+41
 52378.141   1.57452156E+42   2.89932493E+41
 52381.078   1.57247455E+42   2.89373464E+41
 52381.180   1.57336970E+42   2.89543485E+41
 52382.238   1.57801790E+42   2.90465977E+41
 52385.070   1.49553645E+42   2.75362525E+41
 52389.070   1.16512269E+42   2.14375435E+41
 52389.078   1.13851540E+42   2.09349943E+41
 52390.031   1.07437079E+42   1.97550342E+41
 52396.980   7.36256844E+41   1.35625884E+41
 52397.141   7.26633886E+41   1.33834883E+41
 52400.039   6.37642491E+41   1.17424697E+41
