#generated on Tue Jul 29 11:07:15 2014 using mklcbol.pro
#
#INFILE   sn2004gs_lcbol.dat
#NAME     sn2004gs
#AV_HOST  0.540 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.400 +/- 0.200
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53352.332   5.03476928E+42   1.10955719E+42
 53353.301   5.35566809E+42   1.18064530E+42
 53356.324   5.83037235E+42   1.28469740E+42
 53357.266   5.80217148E+42   1.27806169E+42
 53361.250   4.93068585E+42   1.08426419E+42
 53362.258   4.56982676E+42   1.00448551E+42
 53363.281   4.20359173E+42   9.23564659E+41
 53365.242   3.55613829E+42   7.80687311E+41
 53372.242   1.99445426E+42   4.36914353E+41
 53373.281   1.83921919E+42   4.02831481E+41
 53376.297   1.51723031E+42   3.32236395E+41
 53377.227   1.40803482E+42   3.08323355E+41
 53380.254   1.09870451E+42   2.40510247E+41
 53381.238   1.01943675E+42   2.23137702E+41
 53383.254   8.76281012E+41   1.91847096E+41
 53384.207   8.28330671E+41   1.81372640E+41
 53385.246   7.90635491E+41   1.73140162E+41
 53386.223   7.60747304E+41   1.66594645E+41
 53387.238   7.20453599E+41   1.57773330E+41
 53388.223   6.84294234E+41   1.49868030E+41
 53389.191   6.69529555E+41   1.46657869E+41
 53390.180   6.51143761E+41   1.42639191E+41
 53391.141   6.51458466E+41   1.42731262E+41
 53392.176   6.54442460E+41   1.43409982E+41
 53393.223   6.13088114E+41   1.34347150E+41
 53394.230   5.91972547E+41   1.29724184E+41
 53398.172   5.32367825E+41   1.16672475E+41
 53400.129   4.98848117E+41   1.09323342E+41
 53403.152   4.54087651E+41   9.95139181E+40
 53406.160   4.26948682E+41   9.35716337E+40
 53407.184   4.13305449E+41   9.05818598E+40
 53408.164   4.02740673E+41   8.82742962E+40
 53409.160   3.90564400E+41   8.56173498E+40
 53410.180   3.74026981E+41   8.19752429E+40
 53411.164   3.72608385E+41   8.16802574E+40
 53412.156   3.69543721E+41   8.10221797E+40
 53415.156   3.36254442E+41   7.37243263E+40
 53416.184   3.24922465E+41   7.12472535E+40
 53417.141   3.20536436E+41   7.02977899E+40
 53418.141   3.17103082E+41   6.95387905E+40
 53419.207   3.16446348E+41   6.94246681E+40
 53420.145   3.20408806E+41   7.03088184E+40
 53421.184   3.26370909E+41   7.16749900E+40
 53424.133   2.98226168E+41   6.55519429E+40
 53425.117   2.76695131E+41   6.07891949E+40
 53426.125   2.60309332E+41   5.71125830E+40
 53427.113   2.63204582E+41   5.77374402E+40
 53428.066   2.53540308E+41   5.56211376E+40
 53429.078   2.41912324E+41   5.30623671E+40
 53432.180   2.23753679E+41   4.90786931E+40
 53444.074   1.76637938E+41   3.87863214E+40
 53445.074   1.73291690E+41   3.80714593E+40
 53446.070   1.71656897E+41   3.77259698E+40
 53455.062   1.38308483E+41   3.03859299E+40
