#generated on Mon Jul 28 10:38:10 2014 using mklcbol.pro
#
#INFILE   sn2004dt_lcbol.dat
#NAME     sn2005M
#AV_HOST  0.150 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.900 +/- 0.200
#NFILT    3 (B_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53397.203   1.07268396E+43   5.02907702E+42
 53398.207   1.20136600E+43   5.63236799E+42
 53399.188   1.31620088E+43   6.17698798E+42
 53400.195   1.40799349E+43   6.61062653E+42
 53401.176   1.47292380E+43   6.91755336E+42
 53402.172   1.54152581E+43   7.24425471E+42
 53403.219   1.59408019E+43   7.49637518E+42
 53404.211   1.62807891E+43   7.66245462E+42
 53405.238   1.63759693E+43   7.72050291E+42
 53406.219   1.62491966E+43   7.67267940E+42
