#generated on Tue Jul 29 16:58:19 2014 using mklcbol.pro
#
#INFILE   SN2005M_lc_bol.dat
#NAME     sn2005M
#AV_HOST  0.320 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.000 +/- 0.200
#NFILT    6 (B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53397.203   7.33762069E+42   2.12072017E+42
 53398.207   8.18260136E+42   2.36532699E+42
 53399.188   8.91068381E+42   2.57728544E+42
 53400.195   9.53509555E+42   2.75868019E+42
 53401.176   9.98708825E+42   2.88993818E+42
 53402.172   1.03724204E+43   3.00241402E+42
 53403.219   1.06622075E+43   3.08719655E+42
 53404.211   1.08467532E+43   3.14153664E+42
 53405.238   1.08867401E+43   3.15520086E+42
 53406.219   1.08160063E+43   3.13679471E+42
 53407.262   1.06526749E+43   3.09108281E+42
 53408.223   1.04693326E+43   3.03913889E+42
 53409.223   1.02700827E+43   2.98210675E+42
 53410.238   1.00209546E+43   2.91036515E+42
 53411.223   9.68659707E+42   2.81319928E+42
 53412.211   9.35957547E+42   2.71863582E+42
 53413.168   9.01869074E+42   2.62058402E+42
 53414.168   8.62418607E+42   2.50575047E+42
 53415.223   8.15203830E+42   2.36808171E+42
 53416.152   7.72277337E+42   2.24270243E+42
 53417.203   7.25377983E+42   2.10568706E+42
 53418.168   6.80989545E+42   1.97638995E+42
 53419.168   6.36213958E+42   1.84544991E+42
 53420.234   5.87324708E+42   1.70241343E+42
 53421.207   5.52530541E+42   1.60073063E+42
 53422.133   5.24529808E+42   1.51828299E+42
 53424.168   4.72657628E+42   1.36613317E+42
 53425.160   4.49055928E+42   1.29735597E+42
 53426.164   4.32758672E+42   1.25012974E+42
 53427.164   4.16769918E+42   1.20219590E+42
 53428.121   4.01698149E+42   1.15772928E+42
 53429.137   3.86163278E+42   1.11226683E+42
 53430.039   3.73158586E+42   1.07458663E+42
 53431.105   3.56228318E+42   1.02555293E+42
 53432.141   3.41513237E+42   9.82967590E+41
 53433.121   3.28399036E+42   9.44902114E+41
 53436.148   2.97622374E+42   8.56038911E+41
 53438.137   2.76466983E+42   7.94950003E+41
 53444.156   2.08966764E+42   5.99646753E+41
 53445.152   1.98459690E+42   5.69268103E+41
 53446.156   1.87003337E+42   5.36076412E+41
 53453.066   1.40927936E+42   4.03632794E+41
 53454.094   1.39108000E+42   3.98628296E+41
 53455.066   1.35102636E+42   3.87240390E+41
 53456.078   1.29228472E+42   3.70526605E+41
 53457.082   1.25634396E+42   3.60428402E+41
 53458.066   1.22848376E+42   3.52678223E+41
 53459.055   1.19359909E+42   3.42893154E+41
 53460.055   1.15764684E+42   3.32823593E+41
 53461.145   1.12285533E+42   3.23122307E+41
