#generated on Mon Jul 28 16:36:53 2014 using mklcbol.pro
#
#INFILE   sn2005M_lcbol.dat
#NAME     sn2005M
#AV_HOST  0.320 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.000 +/- 0.200
#NFILT    2 (R_Bessell,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 52350.172   5.72846908E+43   1.68650251E+43
 52352.051   6.73272789E+43   1.98487052E+43
 52352.961   7.14839141E+43   2.10909211E+43
 52353.211   4.67058542E+43   1.36393727E+43
 52354.148   5.03836726E+43   1.47750207E+43
 52354.840   5.31784047E+43   1.56191856E+43
 52355.180   5.46059880E+43   1.60507026E+43
 52358.141   6.87496378E+43   2.03454489E+43
 52362.121   9.31863056E+43   2.77481957E+43
 52366.121   1.25728856E+44   3.75534413E+43
 52370.051   1.68015410E+44   5.02475336E+43
 52376.078   2.60698169E+44   7.80431632E+43
 52381.078   3.74077295E+44   1.12126756E+44
 52385.070   4.97890630E+44   1.49405082E+44
 52389.070   6.61502530E+44   1.98707023E+44
 52390.031   7.07938992E+44   2.12695276E+44
 52396.980   1.15115009E+45   3.46145327E+44
 52400.039   1.42237348E+45   4.27768795E+44
