#generated on Tue Oct 14 15:37:30 2014 using mklcbol.pro
#
#INFILE   SN2005eq_lc_bolu.dat
#NAME     sn2005eq
#AV_HOST  0.200 +/- 0.024
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.200 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.460 +/- 0.200
#NFILT    6 (B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53650.285   1.02601838E+43   1.50146087E+42
 53653.262   1.06687569E+43   1.56166438E+42
 53655.266   1.06209853E+43   1.55482562E+42
 53656.238   1.05149003E+43   1.53924769E+42
 53658.199   1.00553272E+43   1.47206979E+42
 53659.172   9.84502673E+42   1.44140864E+42
 53660.227   9.54482568E+42   1.39767454E+42
 53662.250   8.77949002E+42   1.28570835E+42
 53663.223   8.32537247E+42   1.21923643E+42
 53664.203   7.84180341E+42   1.14861563E+42
 53665.195   7.42985525E+42   1.08829106E+42
 53666.254   6.93046824E+42   1.01509959E+42
 53668.258   6.07031755E+42   8.88965618E+41
 53669.219   5.69235315E+42   8.33540503E+41
 53671.262   5.02821603E+42   7.36078154E+41
 53672.285   4.75728855E+42   6.96203463E+41
 53673.266   4.52693764E+42   6.62379905E+41
 53675.230   4.11623034E+42   6.02100729E+41
 53677.293   3.76793412E+42   5.51027243E+41
 53680.258   3.39519314E+42   4.96233772E+41
 53682.277   3.19003211E+42   4.66081396E+41
 53683.227   3.13169213E+42   4.57503723E+41
 53686.289   2.95119783E+42   4.30799103E+41
 53687.242   2.79399177E+42   4.07698705E+41
 53692.215   2.27864037E+42   3.32351439E+41
