#generated on Tue Jul 29 11:18:55 2014 using mklcbol.pro
#
#INFILE   sn2006D_lcbol.dat
#NAME     sn2006D
#AV_HOST  0.030 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.000 +/- 0.200
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53751.332   3.62563417E+42   3.42179507E+42
 53752.359   4.13749459E+42   3.90476011E+42
 53754.254   4.92980559E+42   4.65232978E+42
 53760.289   5.26485895E+42   4.96381415E+42
 53761.297   5.03805994E+42   4.74757573E+42
 53762.301   4.76477150E+42   4.48793653E+42
 53763.297   4.44758636E+42   4.18765404E+42
 53764.340   4.10744172E+42   3.86600468E+42
 53765.324   3.79122009E+42   3.56753619E+42
 53767.348   3.19872579E+42   3.00805991E+42
 53771.277   2.31653804E+42   2.17422534E+42
 53772.309   2.13119755E+42   1.99896926E+42
 53773.223   1.99887689E+42   1.87397978E+42
 53774.324   1.85510330E+42   1.73834868E+42
 53778.379   1.44354422E+42   1.35113185E+42
 53781.238   1.21422359E+42   1.13588345E+42
 53783.234   1.06334928E+42   9.94578052E+41
 53785.332   9.14145282E+41   8.55049886E+41
 53786.371   8.47010187E+41   7.92312787E+41
 53788.367   7.49580335E+41   7.01248148E+41
 53790.316   6.74974111E+41   6.31498228E+41
 53795.344   5.47074498E+41   5.11930418E+41
 53798.309   5.01735099E+41   4.69625297E+41
 53799.309   4.86837385E+41   4.55731197E+41
 53802.309   4.45251436E+41   4.16891461E+41
 53804.352   4.20875500E+41   3.94114597E+41
 53805.305   4.11012247E+41   3.84903891E+41
 53809.250   3.73089167E+41   3.49505142E+41
 53815.238   3.20203402E+41   3.00120065E+41
 53818.309   2.95057013E+41   2.76613617E+41
 53819.297   2.88090481E+41   2.70116446E+41
 53824.266   2.54157540E+41   2.38435877E+41
 53828.344   2.28739424E+41   2.14663183E+41
 53831.230   2.13787094E+41   2.00698853E+41
 53835.242   1.95283636E+41   1.83395328E+41
 53840.176   1.77257761E+41   1.66569341E+41
 53845.180   1.59021360E+41   1.49548176E+41
 53850.188   1.41382633E+41   1.33056062E+41
 53858.121   1.18932889E+41   1.12016229E+41
 53861.117   1.12117539E+41   1.05637626E+41
 53862.188   1.09762683E+41   1.03430808E+41
 53870.152   9.31325617E+40   8.78147882E+40
