#generated on Wed Jan 28 10:57:30 2015 using mklcbol.pro
#
#INFILE   SN2006kf_lc_bol.dat
#NAME     sn2006kf
#AV_HOST  0.090 +/- 0.010
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.630 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.780 +/- 0.100
#NFILT    6 (B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54037.289   6.18475365E+42   4.14498939E+41
 54038.266   6.56000897E+42   4.39681371E+41
 54039.238   6.78095259E+42   4.54516429E+41
 54041.211   6.91128729E+42   4.63298837E+41
 54042.223   6.73181083E+42   4.51280189E+41
 54043.160   6.57522899E+42   4.40793136E+41
 54045.230   6.03574297E+42   4.04667089E+41
 54047.230   5.35500708E+42   3.59051110E+41
 54048.262   4.78517795E+42   3.20837368E+41
 54049.258   4.45818441E+42   2.98914378E+41
 54052.266   3.46503881E+42   2.32301383E+41
 54053.219   3.23428492E+42   2.16801250E+41
 54056.199   2.72035904E+42   1.82329560E+41
 54057.191   2.59205713E+42   1.73702021E+41
 54060.176   2.22784912E+42   1.49257410E+41
 54065.203   1.63547954E+42   1.09524311E+41
 54066.273   1.53351819E+42   1.02675283E+41
 54068.203   1.31463978E+42   8.80157837E+40
 54069.195   1.23759206E+42   8.28622423E+40
 54070.215   1.15980438E+42   7.76750422E+40
 54074.203   9.41875562E+41   6.31005119E+40
 54075.191   8.87828915E+41   5.94817891E+40
 54078.148   7.82148643E+41   5.24060324E+40
 54080.199   7.21467067E+41   4.83384871E+40
 54083.184   6.55538891E+41   4.39141930E+40
