#generated on Mon Jul 28 17:14:46 2014 using mklcbol.pro
#
#INFILE   sn2007nq_lcbol.dat
#NAME     sn2007nq
#AV_HOST  0.030 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.440 +/- 0.200
#NFILT    3 (B_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53424.168   1.34164044E+43   1.21595277E+43
 53426.164   1.33131210E+43   1.20661203E+43
 53427.164   1.32616916E+43   1.20196079E+43
 53428.121   1.32127130E+43   1.19753194E+43
 53429.137   1.31609022E+43   1.19284665E+43
 53430.039   1.31150783E+43   1.18870289E+43
 53431.105   1.30610936E+43   1.18382058E+43
 53432.141   1.30089705E+43   1.17910760E+43
 53436.148   1.28091232E+43   1.16103632E+43
 53438.137   1.27112542E+43   1.15218723E+43
 53444.156   1.24197335E+43   1.12582949E+43
 53445.152   1.23721873E+43   1.12153104E+43
 53446.156   1.23244667E+43   1.11721685E+43
 53453.066   1.20013458E+43   1.08800597E+43
 53454.094   1.19540657E+43   1.08373177E+43
 53455.066   1.19094973E+43   1.07970268E+43
 53456.078   1.18633534E+43   1.07553161E+43
 53457.082   1.18177731E+43   1.07141167E+43
 53458.066   1.17732107E+43   1.06738333E+43
 53459.055   1.17286541E+43   1.06335570E+43
 53460.055   1.16837974E+43   1.05930111E+43
 53464.039   1.15068128E+43   1.04330404E+43
 53465.102   1.14600995E+43   1.03908210E+43
 53466.094   1.14166350E+43   1.03515359E+43
 53472.039   1.11600613E+43   1.01196485E+43
 53474.020   1.10759497E+43   1.00436314E+43
 54397.133   5.02481770E+41   4.67055481E+41
 54399.180   4.98973712E+41   4.63817455E+41
 54400.148   4.97430772E+41   4.62401284E+41
 54402.176   4.94454241E+41   4.59687360E+41
 54403.086   4.99905022E+41   4.65239939E+41
 54407.230   5.03387603E+41   4.69321863E+41
 54409.125   5.02914358E+41   4.69129533E+41
 54411.102   4.99713968E+41   4.66158849E+41
 54412.156   4.97918162E+41   4.64483390E+41
 54413.109   4.95662672E+41   4.62324525E+41
 54415.184   4.91280215E+41   4.58168181E+41
 54421.105   4.83636721E+41   4.51235239E+41
 54422.121   4.84096177E+41   4.51841632E+41
 54423.098   4.84776004E+41   4.52677253E+41
 54424.168   4.85675974E+41   4.53770988E+41
 54427.152   4.88124795E+41   4.56965238E+41
