#generated on Tue Mar 17 12:58:32 2015 using mklcbol.pro
#
#INFILE   SN2007nq_lc_bol.dat
#NAME     sn2007nq
#AV_HOST  0.060 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.440 +/- 0.150
#NFILT    6 (B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54399.180   8.26249096E+42   6.01539214E+42
 54400.148   8.11196565E+42   5.91375148E+42
 54402.176   7.56956673E+42   5.52709831E+42
 54403.086   7.17308314E+42   5.23850963E+42
 54407.230   5.24978337E+42   3.82653144E+42
 54409.125   4.45915862E+42   3.24429436E+42
 54411.102   3.88096084E+42   2.81929942E+42
 54412.156   3.61908274E+42   2.62790365E+42
 54413.109   3.43207451E+42   2.49055055E+42
 54415.184   3.11113003E+42   2.25056071E+42
 54421.105   2.36282774E+42   1.68658707E+42
 54422.121   2.19751092E+42   1.56510829E+42
 54423.098   2.04519265E+42   1.45441629E+42
 54424.168   1.86851870E+42   1.32929944E+42
 54427.152   1.52768959E+42   1.08544246E+42
