#generated on Mon Jul 28 17:27:01 2014 using mklcbol.pro
#
#INFILE   sn2007nq_lcbol.dat
#NAME     sn2007nq
#AV_HOST  0.030 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.440 +/- 0.200
#NFILT    2 (V_Bessell,J_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
     5.345   0.00000000E+00             -NaN
 53397.203   1.61797326E+43   1.49145166E+43
 53398.207   1.84578240E+43   1.71497993E+43
 53399.188   2.03122704E+43   1.89707925E+43
 53400.195   2.18588797E+43   2.04906167E+43
 53401.176   2.29972950E+43   2.16103959E+43
 53402.172   2.39993912E+43   2.25966986E+43
 53403.219   2.48164311E+43   2.34017977E+43
 53404.211   2.55891308E+43   2.41632563E+43
 53405.238   2.60627471E+43   2.46315576E+43
 53406.219   2.61883779E+43   2.47583916E+43
 53407.262   2.58658097E+43   2.44458598E+43
 53408.223   2.56288044E+43   2.42169365E+43
 53409.223   2.54509530E+43   2.40461563E+43
 53410.238   2.51148616E+43   2.37202268E+43
 53411.223   2.47978396E+43   2.34128764E+43
 53412.211   2.41517017E+43   2.27827689E+43
 53413.168   2.33644456E+43   2.20141775E+43
 53414.168   2.26850761E+43   2.13515608E+43
 53415.223   2.17583505E+43   2.04466184E+43
 53416.152   2.09932146E+43   1.96997173E+43
 53417.203   2.00546337E+43   1.87832553E+43
 53418.168   1.89452977E+43   1.76992013E+43
 53419.168   1.79763362E+43   1.67529853E+43
 53420.234   1.69684317E+43   1.57689675E+43
 53421.207   1.61147830E+43   1.49359077E+43
 53422.133   1.56739709E+43   1.45072073E+43
 53424.168   1.40929811E+43   1.29656367E+43
 53425.160   1.29108429E+43   1.18116575E+43
 53426.164   1.18637693E+43   1.07903711E+43
 53427.164   1.12223490E+43   1.01662333E+43
 53428.121   1.10091690E+43   9.96084520E+42
 53429.137   1.11859382E+43   1.01369534E+43
 53430.039   1.13177271E+43   1.02687225E+43
 53431.105   1.14352067E+43   1.03870212E+43
 53432.141   1.15085370E+43   1.04620386E+43
 53433.121   1.14236866E+43   1.03821380E+43
 53436.148   1.11416724E+43   1.01157755E+43
 53438.137   1.08165303E+43   9.80393549E+42
 53444.156   9.27073207E+42   8.31114157E+42
 53446.156   8.61709737E+42   7.67864622E+42
 53453.066   6.12734775E+42   5.27144392E+42
 53454.094   5.66183087E+42   4.82181324E+42
 53455.066   2.81443642E+42   2.08095634E+42
 53456.078   2.60811170E+42   1.88767059E+42
 53457.082   2.51737754E+42   1.80417600E+42
 53458.066   2.46954690E+42   1.76124599E+42
 53459.055   2.41560217E+42   1.71258185E+42
 53460.055   2.34291184E+42   1.64632228E+42
 53462.059   2.22942857E+42   1.54403092E+42
 53464.039   2.09063297E+42   1.41818817E+42
 53465.102   2.00674240E+42   1.34203930E+42
