#generated on Tue Jul 29 17:41:27 2014 using mklcbol.pro
#
#INFILE   SN2007on_lc_bol.dat
#NAME     sn2007on
#AV_HOST  0.120 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 31.450 +/- 0.150
#NFILT    6 (B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54411.285   2.00798661E+42   1.02401053E+42
 54412.215   2.56214033E+42   1.30760856E+42
 54413.312   3.26321446E+42   1.66652441E+42
 54415.242   4.41786032E+42   2.25853470E+42
 54417.207   5.05904334E+42   2.58589053E+42
 54418.242   5.28674197E+42   2.70290904E+42
 54421.207   5.50774784E+42   2.82206986E+42
 54422.219   5.24028241E+42   2.68533310E+42
 54423.203   4.96094877E+42   2.54292255E+42
 54424.219   4.62102718E+42   2.36955837E+42
 54425.223   4.31428611E+42   2.21275399E+42
 54426.156   3.97060841E+42   2.03622896E+42
 54427.180   3.59974774E+42   1.84475131E+42
 54428.215   3.26126251E+42   1.66967327E+42
 54429.184   3.00529567E+42   1.53724040E+42
 54430.168   2.80761756E+42   1.43504808E+42
 54431.211   2.63578492E+42   1.34603913E+42
 54432.168   2.49353572E+42   1.27180600E+42
 54435.160   2.07597996E+42   1.05341885E+42
 54437.207   1.82997111E+42   9.24537164E+41
 54439.184   1.58320938E+42   7.98791206E+41
 54440.188   1.42923914E+42   7.20355953E+41
 54442.207   1.21787353E+42   6.15232728E+41
 54443.223   1.11698397E+42   5.64549198E+41
 54444.281   1.03601794E+42   5.24220463E+41
 54445.223   9.79213258E+41   4.96006387E+41
 54446.176   9.26165251E+41   4.69497665E+41
 54447.148   8.77343208E+41   4.45122410E+41
 54448.152   8.31731504E+41   4.22302441E+41
 54449.195   7.91319687E+41   4.02162130E+41
 54453.137   6.67082357E+41   3.40243324E+41
 54454.145   6.40512723E+41   3.26967475E+41
 54455.113   6.16548322E+41   3.14979300E+41
 54456.152   5.93198484E+41   3.03315314E+41
 54457.121   5.72495342E+41   2.92875953E+41
 54458.184   5.51275765E+41   2.82159843E+41
 54461.180   4.95800015E+41   2.54179578E+41
 54462.223   4.78819243E+41   2.45617062E+41
 54463.145   4.63746194E+41   2.38100825E+41
 54467.129   4.06437966E+41   2.09101574E+41
 54468.133   3.94463269E+41   2.02927050E+41
 54470.086   3.71650048E+41   1.91342052E+41
 54471.152   3.60204771E+41   1.85515680E+41
 54472.109   3.49968091E+41   1.80294413E+41
 54475.109   3.19882498E+41   1.64962149E+41
 54476.137   3.11148189E+41   1.60520226E+41
 54477.102   3.02994320E+41   1.56468536E+41
 54484.086   2.48875307E+41   1.28757590E+41
 54485.129   2.41720117E+41   1.25075645E+41
 54488.074   2.21629006E+41   1.14709858E+41
 54490.070   2.10858107E+41   1.09153217E+41
 54491.086   2.05861016E+41   1.06573334E+41
