#generated on Wed Oct 22 18:40:48 2014 using mklcbol.pro
#
#INFILE   SN2007on_lc_bol.dat
#NAME     sn2007on
#AV_HOST  0.070 +/- 0.011
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.030 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 31.450 +/- 0.150
#NFILT    7 (B_CSP,V_CSP,r_CSP,i_CSP,Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54411.285   1.94182022E+42   2.92012173E+41
 54412.215   2.47474016E+42   3.72301646E+41
 54413.312   3.14732207E+42   4.73666463E+41
 54415.242   4.24546268E+42   6.39343337E+41
 54417.207   4.85200381E+42   7.30755562E+41
 54418.242   5.05704068E+42   7.61855772E+41
 54421.207   5.20397060E+42   7.85429434E+41
 54422.219   4.95412358E+42   7.47636025E+41
 54423.203   4.70251851E+42   7.09472375E+41
 54424.219   4.39438454E+42   6.62806793E+41
 54425.223   4.11664744E+42   6.20739308E+41
 54426.156   3.81252442E+42   5.74481026E+41
 54427.180   3.48825294E+42   5.25003588E+41
 54428.215   3.19655180E+42   4.80393595E+41
 54429.184   2.98038509E+42   4.47259667E+41
 54430.168   2.82077798E+42   4.22665684E+41
 54431.211   2.69093843E+42   4.02493978E+41
 54432.168   2.58255653E+42   3.85655980E+41
 54435.160   2.25311984E+42   3.34806176E+41
 54437.207   2.05385509E+42   3.04289657E+41
 54439.184   1.81639817E+42   2.68742542E+41
 54440.188   1.65993389E+42   2.45453529E+41
 54442.207   1.42349310E+42   2.10534417E+41
 54443.223   1.30828766E+42   1.93531804E+41
 54444.281   1.20904976E+42   1.78923088E+41
 54445.223   1.14044806E+42   1.68825490E+41
 54446.176   1.07911846E+42   1.59777211E+41
 54447.148   1.02042853E+42   1.51131089E+41
 54448.152   9.66662022E+41   1.43200639E+41
 54449.195   9.18603770E+41   1.36117647E+41
 54453.137   7.65177748E+41   1.13536278E+41
 54454.145   7.30520566E+41   1.08443211E+41
 54455.113   7.00054008E+41   1.03963121E+41
 54456.152   6.69957353E+41   9.95413999E+40
 54457.121   6.44420059E+41   9.57758479E+40
 54458.184   6.18107709E+41   9.18952374E+40
 54461.180   5.48821651E+41   8.16849217E+40
 54462.223   5.27951464E+41   7.86093556E+40
 54463.145   5.09601292E+41   7.59098024E+40
 54467.129   4.40520258E+41   6.57129182E+40
 54468.133   4.26161375E+41   6.35881290E+40
 54470.086   3.99297866E+41   5.96158676E+40
 54471.152   3.85833200E+41   5.76246761E+40
 54472.109   3.74072065E+41   5.58800432E+40
 54475.109   3.39508330E+41   5.07605422E+40
 54476.137   3.29358800E+41   4.92598664E+40
 54477.102   3.20190421E+41   4.79085314E+40
 54484.086   2.59650115E+41   3.89167550E+40
 54485.129   2.51788436E+41   3.77459300E+40
 54488.074   2.30105144E+41   3.45090929E+40
 54490.070   2.18226301E+41   3.27403445E+40
 54491.086   2.12688520E+41   3.19159276E+40
