#generated on Tue Jul 29 12:28:55 2014 using mklcbol.pro
#
#INFILE   SN2008bc_lc_bol.dat
#NAME     sn2008bc
#AV_HOST  0.050 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.160 +/- 0.200
#NFILT    6 (B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54543.086   4.75334256E+42   3.72351285E+42
 54544.246   5.22226956E+42   4.09785514E+42
 54545.172   5.50850714E+42   4.32697142E+42
 54547.082   5.89873186E+42   4.64085628E+42
 54548.066   5.97629821E+42   4.70524006E+42
 54549.074   5.99829585E+42   4.72488963E+42
 54551.176   5.87538289E+42   4.63245591E+42
 54552.176   5.77040657E+42   4.55194704E+42
 54553.141   5.63562138E+42   4.44777728E+42
 54554.191   5.44494993E+42   4.30103666E+42
 54558.047   4.51517591E+42   3.57395763E+42
 54559.121   4.24209832E+42   3.35374284E+42
 54560.098   3.95624185E+42   3.12648834E+42
 54562.102   3.41425775E+42   2.69498097E+42
 54564.098   2.96011176E+42   2.33306075E+42
 54566.117   2.62739120E+42   2.06781546E+42
 54568.094   2.40324334E+42   1.88937093E+42
 54569.207   2.30427578E+42   1.81070985E+42
 54570.039   2.24079120E+42   1.76029852E+42
 54571.020   2.17985699E+42   1.71190305E+42
 54573.047   2.05195668E+42   1.61014787E+42
 54574.121   1.99046848E+42   1.56126333E+42
 54575.090   1.93963030E+42   1.52071759E+42
 54576.047   1.89185142E+42   1.48257005E+42
 54581.133   1.62730508E+42   1.25987751E+42
 54582.066   1.53398231E+42   1.18668138E+42
 54585.070   1.33547585E+42   1.03256156E+42
 54589.055   1.05649429E+42   8.16280701E+41
 54590.109   9.93053453E+41   7.69860334E+41
 54592.023   9.09275435E+41   7.06364064E+41
 54595.137   8.06485878E+41   6.28458619E+41
 54596.195   7.78468648E+41   6.06777256E+41
 54605.984   5.69461190E+41   4.46320631E+41
 54607.074   5.52132763E+41   4.32902281E+41
 54617.996   4.17827043E+41   3.28188277E+41
 54625.016   3.54638801E+41   2.78312887E+41
