#generated on Fri Oct 24 10:40:51 2014 using mklcbol.pro
#
#INFILE   SN2008bc_lc_bolu.dat
#NAME     sn2008bc
#AV_HOST  0.000 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.690 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.160 +/- 0.200
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54543.086   9.81920620E+42   1.27898977E+42
 54544.246   1.08162946E+43   1.40886441E+42
 54545.172   1.14108353E+43   1.48630565E+42
 54547.082   1.22146785E+43   1.59100935E+42
 54548.066   1.23502502E+43   1.60866808E+42
 54549.074   1.23448572E+43   1.60796563E+42
 54551.176   1.19826804E+43   1.56079069E+42
 54552.176   1.17291345E+43   1.52776535E+42
 54553.141   1.14234424E+43   1.48794777E+42
 54554.191   1.10121677E+43   1.43437764E+42
 54558.047   9.05707934E+42   1.17971978E+42
 54559.121   8.47059662E+42   1.10332813E+42
 54560.098   7.87218691E+42   1.02538294E+42
 54562.102   6.74421913E+42   8.78460752E+41
 54564.098   5.80496527E+42   7.56119287E+41
 54566.117   5.10575989E+42   6.65045068E+41
 54568.094   4.63724479E+42   6.04019156E+41
 54569.207   4.43599891E+42   5.77806098E+41
 54570.039   4.30381116E+42   5.60588130E+41
 54571.020   4.17917394E+42   5.44353648E+41
 54573.047   3.92612416E+42   5.11392931E+41
 54574.121   3.79924380E+42   4.94866270E+41
 54575.090   3.69520239E+42   4.81314472E+41
 54576.047   3.60423014E+42   4.69464983E+41
 54581.133   3.08735998E+42   4.02140636E+41
 54582.066   2.91271284E+42   3.79392168E+41
 54585.070   2.53951881E+42   3.30782195E+41
 54589.055   2.00735549E+42   2.61465853E+41
 54590.109   1.89532310E+42   2.46873200E+41
 54592.023   1.74046250E+42   2.26702004E+41
 54595.137   1.54359805E+42   2.01059646E+41
 54596.195   1.48836668E+42   1.93865545E+41
 54605.984   1.09148054E+42   1.42169583E+41
 54607.074   1.05830856E+42   1.37848803E+41
 54617.996   8.05647837E+41   1.04938762E+41
 54625.016   6.90519976E+41   8.99429106E+40
