#generated on Tue Aug 26 13:48:52 2014 using mklcbol.pro
#
#INFILE   SN2008gp_lc_bolu.dat
#NAME     sn2008gp
#AV_HOST  0.110 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.301 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.790 +/- 0.060
#NFILT    6 (B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54769.320   5.58506870E+42   1.37096513E+42
 54770.234   6.48954702E+42   1.59833312E+42
 54771.270   7.52548654E+42   1.85887762E+42
 54772.273   8.40864426E+42   2.08087926E+42
 54776.211   1.06679073E+43   2.64892599E+42
 54778.289   1.10849587E+43   2.75390967E+42
 54779.258   1.09504924E+43   2.72027331E+42
 54780.242   1.09112255E+43   2.70971237E+42
 54781.238   1.07873356E+43   2.67800777E+42
 54783.227   1.03873555E+43   2.57809785E+42
 54784.234   1.00239364E+43   2.49324584E+42
 54786.328   9.08373862E+42   2.26076652E+42
 54790.223   6.96555764E+42   1.73260121E+42
 54791.242   6.46994609E+42   1.60932586E+42
 54792.176   6.04458796E+42   1.50286517E+42
 54793.191   5.64016455E+42   1.40134097E+42
 54794.234   5.28869501E+42   1.31264709E+42
 54795.223   4.98799388E+42   1.23674687E+42
 54800.227   4.02840925E+42   9.91382574E+41
 54801.266   3.91916523E+42   9.63428047E+41
 54802.211   3.86302486E+42   9.48948988E+41
 54803.285   3.74936809E+42   9.20175310E+41
 54806.219   3.39882937E+42   8.32032151E+41
 54808.223   3.17151245E+42   7.75411020E+41
 54809.188   3.05439297E+42   7.46367547E+41
 54810.195   2.92203703E+42   7.13578636E+41
 54812.090   2.63359056E+42   6.43672375E+41
 54813.117   2.48307399E+42   6.06075920E+41
