#generated on Wed Oct 22 18:49:40 2014 using mklcbol.pro
#
#INFILE   SN2008gp_lc_bol.dat
#NAME     sn2008gp
#AV_HOST  0.110 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.790 +/- 0.060
#NFILT    7 (B_CSP,V_CSP,r_CSP,i_CSP,Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54769.320   4.44323178E+42   2.36978145E+42
 54770.234   5.15684522E+42   2.75404243E+42
 54771.270   5.97110640E+42   3.19315201E+42
 54772.273   6.66285985E+42   3.56603028E+42
 54776.211   8.43266193E+42   4.52714497E+42
 54778.289   8.70403016E+42   4.68304201E+42
 54779.258   8.60684091E+42   4.63195881E+42
 54780.242   8.55134650E+42   4.60621440E+42
 54781.238   8.43123556E+42   4.54312495E+42
 54783.227   8.09408274E+42   4.36305715E+42
 54784.234   7.81175541E+42   4.21289518E+42
 54786.328   7.09877545E+42   3.82733328E+42
 54790.223   5.51422501E+42   2.96491708E+42
 54791.242   5.14246292E+42   2.76127948E+42
 54792.176   4.81860584E+42   2.58413870E+42
 54793.191   4.51210300E+42   2.41581133E+42
 54794.234   4.25610311E+42   2.27351881E+42
 54795.223   4.03203263E+42   2.14927766E+42
 54800.227   3.36086877E+42   1.77000354E+42
 54801.266   3.28543156E+42   1.72634233E+42
 54802.211   3.25012216E+42   1.70501886E+42
 54803.285   3.17164191E+42   1.66049251E+42
 54806.219   2.92639197E+42   1.52418167E+42
 54808.223   2.76294323E+42   1.43511578E+42
 54809.188   2.67886376E+42   1.39011019E+42
 54810.195   2.58127184E+42   1.33802782E+42
 54812.090   2.36608603E+42   1.22408854E+42
 54813.117   2.24991010E+42   1.16239446E+42
