#generated on Wed Jan 28 10:50:00 2015 using mklcbol.pro
#
#INFILE   SN2006kf_lc_bol.dat
#NAME     sn2008hv
#AV_HOST  0.030 +/- 0.010
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.780 +/- 0.100
#NFILT    6 (B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54037.289   3.57799306E+42   3.79149343E+41
 54038.266   3.78080509E+42   4.01106676E+41
 54039.238   3.89443763E+42   4.13536695E+41
 54041.211   3.94328831E+42   4.19387284E+41
 54042.223   3.83011574E+42   4.07551795E+41
 54043.160   3.73498604E+42   3.97599491E+41
 54045.230   3.41613220E+42   3.64319481E+41
 54047.230   3.02967477E+42   3.23570534E+41
 54048.262   2.70802645E+42   2.89188855E+41
 54049.258   2.52913147E+42   2.70167775E+41
 54052.266   1.99989388E+42   2.13458442E+41
 54053.219   1.88027920E+42   2.00288637E+41
 54056.199   1.62259056E+42   1.72620403E+41
 54057.191   1.56188910E+42   1.65766965E+41
 54060.176   1.37336440E+42   1.45232794E+41
 54065.203   1.02989648E+42   1.08239089E+41
 54066.273   9.70037441E+41   1.01652552E+41
 54068.203   8.28072604E+41   8.66963806E+40
 54069.195   7.76745978E+41   8.13830109E+40
 54070.215   7.22219016E+41   7.59601413E+40
 54074.203   5.78152084E+41   6.10896912E+40
 54075.191   5.45153010E+41   5.76417716E+40
 54078.148   4.78188887E+41   5.06268743E+40
 54080.199   4.41640432E+41   4.67376345E+40
 54083.184   4.01809447E+41   4.24195917E+40
