#generated on Tue Oct 28 14:27:11 2014 using mklcbol.pro
#
#INFILE   SN2008hv_lc_bol.dat
#NAME     sn2008hv
#AV_HOST  0.150 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.084 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.840 +/- 0.150
#NFILT    3 (Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54804.281   1.05514967E+41   4.44960498E+40
 54811.293   5.92632837E+41   2.52392933E+41
 54812.270   6.06624672E+41   2.58289732E+41
 54815.328   5.19095172E+41   2.20730727E+41
 54822.305   2.74023860E+41   1.15219799E+41
 54828.285   1.76145085E+41   7.44630034E+40
 54829.234   1.76020447E+41   7.45496518E+40
 54833.266   2.31466443E+41   9.86485103E+40
 54839.180   3.21673404E+41   1.38390203E+41
 54849.273   2.63425232E+41   1.14756664E+41
 54854.270   2.00249112E+41   8.73285285E+40
 54868.148   8.59893623E+40   3.75527436E+40
 54875.137   6.04608985E+40   2.63973252E+40
 54887.160   3.63478466E+40   1.57468422E+40
 54889.168   3.41247540E+40   1.47533653E+40
 54895.078   2.88180740E+40   1.24277614E+40
 54899.121   2.61340194E+40   1.13064262E+40
