#generated on Mon Jul 28 18:33:45 2014 using mklcbol.pro
#
#INFILE   sn2008ia_lcbol.dat
#NAME     sn2008ia
#AV_HOST  0.320 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.960 +/- 0.200
#NFILT    3 (B_Bessell,I_Bessell,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54811.223   6.92494019E+42   1.97355745E+42
 54812.328   6.96528075E+42   1.98941887E+42
 54813.199   6.93384505E+42   1.98096647E+42
 54815.277   6.59899862E+42   1.88718062E+42
 54816.254   6.35458450E+42   1.81787655E+42
 54818.227   5.59501588E+42   1.60168979E+42
 54821.277   4.46779743E+42   1.27458061E+42
 54823.211   3.78130889E+42   1.07478743E+42
 54828.230   2.45485768E+42   6.79281832E+41
 54830.195   2.11122570E+42   5.74899306E+41
 54831.234   2.02012722E+42   5.47271962E+41
 54833.207   1.86489281E+42   4.98889306E+41
 54834.238   1.81544018E+42   4.83610615E+41
 54838.262   1.53456582E+42   4.06539377E+41
 54839.207   1.42533816E+42   3.77490303E+41
 54840.199   1.30154710E+42   3.44999963E+41
 54841.168   1.17113677E+42   3.09903182E+41
 54843.188   9.33607118E+41   2.45083666E+41
 54845.355   7.54913104E+41   1.96283261E+41
 54854.332   5.79341983E+41   1.51829961E+41
 54855.316   5.96729804E+41   1.57048094E+41
 54856.215   6.19237844E+41   1.63669617E+41
