#generated on Tue Oct 28 14:27:16 2014 using mklcbol.pro
#
#INFILE   SN2008ia_lc_bol.dat
#NAME     sn2008ia
#AV_HOST  0.100 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.585 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.960 +/- 0.090
#NFILT    3 (Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54811.223   6.76456774E+41   1.02834725E+41
 54812.328   5.91610840E+41   8.97363217E+40
 54815.277   4.17675043E+41   6.29345933E+40
 54816.254   3.59036070E+41   5.39573417E+40
 54823.211   1.98073331E+41   2.97107996E+40
 54828.230   2.34896333E+41   3.56292861E+40
 54833.207   3.25976797E+41   5.00344764E+40
 54840.199   4.09375110E+41   6.34592445E+40
 54841.168   3.86374615E+41   5.99402278E+40
 54843.188   3.32993484E+41   5.16614445E+40
 54847.246   2.52435694E+41   3.91000310E+40
 54854.332   1.73560510E+41   2.69704865E+40
 54857.227   1.49739763E+41   2.33645467E+40
 54872.211   5.90369557E+40   9.20823141E+39
 54874.160   5.39150143E+40   8.38980466E+39
