#generated on Thu Oct 23 17:57:48 2014 using mklcbol.pro
#
#INFILE   11fe_lc_bol.dat
#NAME     sn2011fe
#AV_HOST  0.033 +/- 0.011
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 28.910 +/- 0.200
#NFILT    7 (U_Bessell,B_CSP,V_CSP,r_CSP,i_CSP,J_MKO,H_MKO)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
   800.580   6.84562249E+41   1.08601988E+41
   801.200   9.59490793E+41   1.52330766E+41
   802.168   1.55083138E+42   2.46483076E+41
   802.300   1.65382999E+42   2.62903744E+41
   802.560   1.85686286E+42   2.95255377E+41
   803.121   2.34184091E+42   3.72587449E+41
   803.200   2.41083337E+42   3.83582682E+41
   803.550   2.73951250E+42   4.35997716E+41
   804.195   3.43137609E+42   5.46397787E+41
   804.200   3.44681843E+42   5.48880228E+41
   804.560   3.78000579E+42   6.02014886E+41
   805.200   4.44056327E+42   7.07370855E+41
   806.200   5.56639690E+42   8.87062838E+41
   807.148   6.68307739E+42   1.06551856E+42
   807.300   6.89157527E+42   1.09886795E+42
   808.102   7.88811921E+42   1.25836788E+42
   808.200   8.00806343E+42   1.27757852E+42
   808.540   8.32780557E+42   1.32881030E+42
   809.200   9.06642813E+42   1.44714293E+42
   813.113   1.14893128E+43   1.83553031E+42
   813.200   1.14383170E+43   1.82730623E+42
   814.200   1.13245168E+43   1.80915675E+42
   815.200   1.09667386E+43   1.75198657E+42
   815.530   1.05059219E+43   1.67818419E+42
   816.200   1.04143746E+43   1.66369029E+42
   816.530   1.02779590E+43   1.64183968E+42
   817.200   1.00258643E+43   1.60154905E+42
   818.200   9.63876443E+42   1.53977899E+42
   819.133   9.25607719E+42   1.47882361E+42
   820.090   8.85458471E+42   1.41481268E+42
   821.090   8.42150009E+42   1.34587495E+42
   821.200   8.37776721E+42   1.33892978E+42
   822.090   7.97832002E+42   1.27547078E+42
   822.520   7.83355902E+42   1.25260233E+42
   823.200   7.48390724E+42   1.19689367E+42
   823.530   7.26909597E+42   1.16261268E+42
   824.090   6.95375103E+42   1.11236171E+42
   825.094   6.42598346E+42   1.02806958E+42
   825.520   6.17651694E+42   9.88179035E+41
   826.200   5.86503725E+42   9.38346104E+41
   827.121   5.48730853E+42   8.77843112E+41
   827.510   5.34083123E+42   8.54396477E+41
   828.086   5.14009823E+42   8.22184471E+41
   828.200   5.09506396E+42   8.14950665E+41
   829.510   4.73671820E+42   7.57359555E+41
   830.109   4.58609591E+42   7.33120164E+41
   830.520   4.50420927E+42   7.19917812E+41
   831.200   4.35794457E+42   6.96350845E+41
   833.090   4.04758347E+42   6.46305214E+41
   833.200   4.03685566E+42   6.44575855E+41
   834.098   3.91297658E+42   6.24610992E+41
   835.090   3.78814098E+42   6.04496733E+41
   836.200   3.66032986E+42   5.83899160E+41
   837.086   3.56881822E+42   5.69150383E+41
   838.078   3.47428086E+42   5.53899250E+41
   838.200   3.46949299E+42   5.53124622E+41
   840.070   3.31759206E+42   5.28564435E+41
   840.500   3.30261203E+42   5.26126926E+41
   841.500   3.20184128E+42   5.09879142E+41
   842.074   3.14347808E+42   5.00441109E+41
   842.500   3.05949868E+42   4.86949414E+41
   844.074   2.81194658E+42   4.47186220E+41
   845.105   2.66183957E+42   4.23167134E+41
   846.094   2.52609273E+42   4.01513936E+41
   848.074   2.27336140E+42   3.61418808E+41
   849.070   2.15754418E+42   3.43089028E+41
   850.066   2.05037788E+42   3.26113743E+41
   851.066   1.94893921E+42   3.10067760E+41
   852.070   1.85409190E+42   2.95058530E+41
   852.900   1.77808101E+42   2.83006844E+41
   853.062   1.76448487E+42   2.80844356E+41
   854.070   1.68202042E+42   2.67763255E+41
   860.070   1.29947383E+42   2.07062347E+41
