#generated on Tue Oct 21 17:50:43 2014 using mklcbol.pro
#
#INFILE   11fe_lc_bol.dat
#NAME     sn2011fe
#AV_HOST  0.033 +/- 0.011
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 28.910 +/- 0.200
#NFILT    7 (U_Astier,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
   800.580   6.82901254E+41   1.08365117E+41
   801.200   9.56894913E+41   1.51952976E+41
   802.168   1.54620451E+42   2.45797090E+41
   802.300   1.64888734E+42   2.62169855E+41
   802.560   1.85123249E+42   2.94416760E+41
   803.121   2.33447498E+42   3.71482310E+41
   803.200   2.40319631E+42   3.82435776E+41
   803.550   2.73083642E+42   4.34692207E+41
   804.195   3.42036861E+42   5.44733834E+41
   804.200   3.43582255E+42   5.47218295E+41
   804.560   3.76831903E+42   6.00251760E+41
   805.200   4.42690434E+42   7.05307981E+41
   806.200   5.54921594E+42   8.84459781E+41
   807.148   6.66184258E+42   1.06228242E+42
   807.300   6.86981530E+42   1.09555094E+42
   808.102   7.86285794E+42   1.25449984E+42
   808.200   7.98234807E+42   1.27363852E+42
   808.540   8.30147499E+42   1.32477535E+42
   809.200   9.03755985E+42   1.44270579E+42
   813.113   1.14525733E+43   1.82983044E+42
   813.200   1.14014506E+43   1.82158529E+42
   814.200   1.12886464E+43   1.80358894E+42
   815.200   1.09331867E+43   1.74678225E+42
   815.530   1.04756487E+43   1.67350513E+42
   816.200   1.03837150E+43   1.65893943E+42
   816.530   1.02475058E+43   1.63711720E+42
   817.200   9.99545131E+42   1.59682228E+42
   818.200   9.60838840E+42   1.53504089E+42
   819.133   9.22563370E+42   1.47405704E+42
   820.090   8.82433436E+42   1.41006085E+42
   821.090   8.39135036E+42   1.34112058E+42
   821.200   8.34763554E+42   1.33417615E+42
   822.090   7.94810094E+42   1.27068391E+42
   822.520   7.80317877E+42   1.24778094E+42
   823.200   7.45394723E+42   1.19212791E+42
   823.530   7.23973401E+42   1.15793806E+42
   824.090   6.92475258E+42   1.10773559E+42
   825.094   6.39786482E+42   1.02357430E+42
   825.520   6.14913149E+42   9.83798572E+41
   826.200   5.83811403E+42   9.34035822E+41
   827.121   5.46068313E+42   8.73576997E+41
   827.510   5.31406439E+42   8.50106274E+41
   828.086   5.11332386E+42   8.17892178E+41
   828.200   5.06825170E+42   8.10652097E+41
   829.510   4.70905836E+42   7.52922955E+41
   830.109   4.55818313E+42   7.28643254E+41
   830.520   4.47577843E+42   7.15357352E+41
   831.200   4.32883911E+42   6.91681765E+41
   833.090   4.01697571E+42   6.41395876E+41
   833.200   4.00618004E+42   6.39655708E+41
   834.098   3.88166045E+42   6.19588735E+41
   835.090   3.75616837E+42   5.99370041E+41
   836.200   3.62770364E+42   5.78669104E+41
   837.086   3.53572500E+42   5.63846751E+41
   838.078   3.44075762E+42   5.48528810E+41
   838.200   3.43594079E+42   5.47749878E+41
   840.070   3.28355285E+42   5.23118082E+41
   840.500   3.26805024E+42   5.20597765E+41
   841.500   3.16781012E+42   5.04439485E+41
   842.074   3.10995590E+42   4.95086749E+41
   842.500   3.02713751E+42   4.81784164E+41
   844.074   2.78283214E+42   4.42550409E+41
   845.105   2.63449483E+42   4.18817812E+41
   846.094   2.50020327E+42   3.97398559E+41
   848.074   2.24963532E+42   3.57644761E+41
   849.070   2.13472616E+42   3.39456715E+41
   850.066   2.02847697E+42   3.22625399E+41
   851.066   1.92785175E+42   3.06706083E+41
   852.070   1.83379884E+42   2.91820783E+41
   852.900   1.75864813E+42   2.79904945E+41
   853.062   1.74520622E+42   2.77767058E+41
   854.070   1.66356831E+42   2.64816529E+41
   860.070   1.28518848E+42   2.04775418E+41
