#generated on Thu Aug 21 12:09:03 2014 using mklcbol.pro
#
#INFILE   SN2005iq_lc_bol.dat
#NAME     SN2005iq
#AV_HOST  0.160 +/- 0.000
#RV_HOST  4.000 +/- 0.290
#AV_MW    0.048 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 35.800 +/- 0.150
#NFILT    7 (B_CSP,V_CSP,r_CSP,i_CSP,Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53685.074   8.70435244E+42   1.01453527E+42
 53686.113   8.89565387E+42   1.03734181E+42
 53687.035   8.93476765E+42   1.04224755E+42
 53688.102   8.87874331E+42   1.03599094E+42
 53689.117   8.72404806E+42   1.01810482E+42
 53690.062   8.49852018E+42   9.91877118E+41
 53692.047   7.80639687E+42   9.11170897E+41
 53694.105   6.87963528E+42   8.02941104E+41
 53695.105   6.38392930E+42   7.45005296E+41
 53696.094   5.89127613E+42   6.87481964E+41
 53698.066   5.04841178E+42   5.88889993E+41
 53699.098   4.66898415E+42   5.44444417E+41
 53700.137   4.34806120E+42   5.06764467E+41
 53702.102   3.85209089E+42   4.48450620E+41
 53705.117   3.31573533E+42   3.85225236E+41
 53706.125   3.27104438E+42   3.79825939E+41
 53710.051   2.89822735E+42   3.35674648E+41
 53715.090   2.42234500E+42   2.79885405E+41
 53716.102   2.29807351E+42   2.65422452E+41
 53718.066   2.12030073E+42   2.44759570E+41
 53721.066   1.78768736E+42   2.06276712E+41
