#generated on Tue Aug 12 12:58:20 2014 using mklcbol.pro
#
#INFILE   SN2008hv_lc_bol.dat
#NAME     sn2008hv
#AV_HOST  0.150 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.084 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.840 +/- 0.150
#NFILT    6 (B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54806.281   2.32967429E+42   1.01202751E+42
 54808.297   4.36429137E+42   1.90099139E+42
 54809.285   5.41574929E+42   2.36026449E+42
 54810.289   6.34769531E+42   2.76687764E+42
 54811.293   7.17223534E+42   3.12697081E+42
 54812.270   7.87646069E+42   3.43737282E+42
 54813.285   8.39464356E+42   3.66739818E+42
 54815.328   9.05505778E+42   3.96491834E+42
 54817.262   8.95729604E+42   3.92590042E+42
 54818.258   8.73175273E+42   3.82891985E+42
 54822.305   7.13417813E+42   3.13357276E+42
 54827.250   5.05096594E+42   2.21878975E+42
 54828.285   4.67182203E+42   2.05264157E+42
 54829.234   4.35315633E+42   1.91143492E+42
 54830.227   4.01851535E+42   1.76295836E+42
 54831.262   3.76017987E+42   1.64820215E+42
 54833.266   3.37902525E+42   1.47600949E+42
 54834.320   3.20752948E+42   1.39934412E+42
 54837.297   2.86624958E+42   1.24736350E+42
 54838.293   2.74971291E+42   1.19594875E+42
 54839.180   2.63850824E+42   1.14605347E+42
 54840.230   2.49583914E+42   1.08282127E+42
 54841.234   2.34857433E+42   1.01767291E+42
 54842.348   2.18243961E+42   9.44276053E+41
 54844.273   1.93851251E+42   8.36984804E+41
 54849.273   1.45046304E+42   6.27840951E+41
 54854.270   1.13751356E+42   4.92938819E+41
 54856.246   1.05324182E+42   4.56923661E+41
 54867.203   7.36767018E+41   3.21437281E+41
 54868.148   7.15201117E+41   3.12244191E+41
 54870.164   6.73956047E+41   2.94410666E+41
 54874.129   6.05306094E+41   2.64662117E+41
 54875.137   5.89852868E+41   2.57983600E+41
 54878.141   5.50729699E+41   2.41033664E+41
 54884.164   4.77133498E+41   2.08961669E+41
 54887.160   4.45417520E+41   1.94848869E+41
 54889.168   4.23658420E+41   1.85295650E+41
 54895.078   3.64335910E+41   1.59339306E+41
