#generated on Wed Aug 27 13:46:28 2014 using mklcbol.pro
#
#INFILE   SN2004gu_lc_bol.dat
#NAME     SN2004gu
#AV_HOST  0.200 +/- 0.113
#RV_HOST  1.900 +/- 0.290
#AV_MW    0.066 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 36.590 +/- 0.050
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53361.328   9.13653516E+42   3.49326405E+42
 53362.352   9.14413318E+42   3.49537190E+42
 53363.348   9.09310970E+42   3.47540914E+42
 53365.332   8.94098103E+42   3.41706202E+42
 53369.344   8.00232120E+42   3.05730168E+42
 53372.336   6.81144287E+42   2.60030470E+42
 53373.336   6.40259529E+42   2.44403700E+42
 53376.340   5.28538848E+42   2.01583696E+42
 53377.340   4.95356204E+42   1.88840651E+42
 53380.340   4.08410051E+42   1.55420364E+42
 53381.328   3.82674934E+42   1.45553673E+42
 53384.312   3.32555278E+42   1.26362286E+42
 53385.344   3.13372445E+42   1.19016258E+42
 53386.301   2.96266952E+42   1.12483317E+42
 53387.285   2.82614140E+42   1.07263459E+42
 53388.312   2.71586418E+42   1.03045244E+42
 53390.336   2.46441115E+42   9.34712345E+41
 53391.309   2.37834561E+42   9.02155742E+41
 53393.316   2.18356014E+42   8.27954520E+41
 53394.305   2.09166405E+42   7.93005626E+41
 53395.309   1.98496874E+42   7.52415654E+41
 53399.320   1.63256859E+42   6.18877365E+41
 53401.312   1.50059692E+42   5.68960424E+41
 53402.348   1.38615990E+42   5.25517037E+41
 53403.301   1.31112334E+42   4.97177112E+41
 53404.320   1.24438433E+42   4.71926223E+41
 53406.316   1.17659510E+42   4.46287872E+41
 53408.301   1.11965179E+42   4.24685646E+41
 53409.355   1.08705668E+42   4.12238996E+41
 53410.316   1.05634078E+42   4.00492313E+41
