#generated on Fri Aug 15 19:22:31 2014 using mklcbol.pro
#
#INFILE   SN2004gu_lc_bol.dat
#NAME     SN2004gu
#AV_HOST  0.200 +/- 0.113
#RV_HOST  1.900 +/- 0.290
#AV_MW    0.066 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 36.590 +/- 0.050
#NFILT    6 (B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53378.352   5.46727812E+42   2.07433644E+42
 53380.340   4.87622553E+42   1.84665045E+42
 53381.328   4.60854622E+42   1.74378399E+42
 53384.312   4.13082924E+42   1.56044633E+42
 53385.344   3.94692808E+42   1.48973862E+42
 53386.301   3.79203431E+42   1.43052135E+42
 53387.285   3.67727160E+42   1.38634798E+42
 53388.312   3.59753736E+42   1.35554063E+42
 53390.336   3.40648740E+42   1.28196040E+42
 53391.309   3.33970336E+42   1.25601245E+42
 53392.367   3.26596543E+42   1.22418615E+42
 53393.316   3.19165341E+42   1.19484675E+42
 53394.305   3.10777234E+42   1.16218226E+42
 53395.309   2.99852223E+42   1.11988377E+42
 53398.348   2.65393993E+42   9.88988030E+41
 53399.320   2.55385007E+42   9.50611836E+41
 53401.312   2.35320680E+42   8.73790726E+41
 53402.348   2.18555694E+42   8.09719946E+41
 53403.301   2.04843651E+42   7.57434104E+41
 53404.320   1.93144702E+42   7.13039235E+41
 53405.379   1.84354089E+42   6.79537371E+41
 53406.316   1.82422682E+42   6.72811567E+41
 53408.301   1.71933838E+42   6.34067119E+41
 53409.355   1.66860844E+42   6.15477422E+41
 53410.316   1.62181231E+42   5.98367886E+41
