Name		TBmax	err	Mu	err
SN1980N		44585.8 0.5	31.59	0.1
SN1981B		44672	0.2	30.95	0.07
SN1998bu	50953.3	0.5	30.20	0.1	
SN1986G		50561.5 1	27.8	0.1
SN1999ac	51251	0.5	33.5	0.3
SN1999ee	469.1	0.5	33.2	0.2
SN1999ek	481.8	0.1	34.4	0.3
SN2000E		577	0.5	31.9	0.4
SN2000bh	635.2	0.3	34.6	0.3
SN2000bk	51647.9	0.2	35.8	0.2
SN2001ba	2034.5	0.7	35.4	0.2
SN2001bt	2063.4	0.2	34.1	0.4
SN2001cn	2071.6	0.2	34.1	0.2
SN2001cz	2103.9	0.1	33.5	0.1
SN2001el	2182.5	0.5	31.3	0.4
SN2002bo	356.5	0.2	31.8	0.8
SN2002dj	52450	0.7	32.9	0.2
SN2003gs	52848.5	0.5	31.7	0.3
SN2003hv	52891.2	0.3	31.4	0.3
SN2003cg	52729.4	0.5	31.28	0.1			
SN2011fe	55815.3	0.3	28.91	0.2
SN2002fk	52547.9 0.3	32.59	0.3
SN2014J		56689.7	0.3	27.64	0.1
