#generated on Tue Dec  8 18:18:24 2015 using mklcbol.pro
#
#INFILE   SN2007aj.dat
#NAME     SN2007aj
#AV_HOST  -0.006 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.042 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.385 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54170.332   5.48832794E+41   3.57438022E+40
 54172.367   4.58462322E+41   2.98582496E+40
 54172.371   4.58312044E+41   2.98484625E+40
 54172.375   4.58163303E+41   2.98387754E+40
 54176.250   3.46524933E+41   2.25681096E+40
 54176.254   3.47930752E+41   2.26596663E+40
 54176.262   3.47719242E+41   2.26458913E+40
 54178.188   3.08424334E+41   2.00867341E+40
 54178.191   3.11122235E+41   2.02624401E+40
 54178.195   3.04677545E+41   1.98427171E+40
 54185.273   2.12688844E+41   1.38517742E+40
 54185.277   2.13456102E+41   1.39017434E+40
 54185.281   2.11598619E+41   1.37807712E+40
 54187.211   1.86300907E+41   1.21332086E+40
 54187.215   1.85560782E+41   1.20850065E+40
 54188.219   1.74542427E+41   1.13674147E+40
 54188.223   1.73271935E+41   1.12846715E+40
 54188.227   1.77493782E+41   1.15596275E+40
 54192.359   1.37185902E+41   8.93449847E+39
 54192.363   1.39124372E+41   9.06074504E+39
 54192.367   1.39454959E+41   9.08227518E+39
 54193.305   1.30957414E+41   8.52885607E+39
 54193.309   1.31917470E+41   8.59138159E+39
 54193.312   1.29657740E+41   8.44421227E+39
 54194.336   1.21499075E+41   7.91286334E+39
 54194.340   1.20477227E+41   7.84631354E+39
 54194.344   1.23073360E+41   8.01539173E+39
 54195.246   1.17867014E+41   7.67631833E+39
 54195.250   1.18784778E+41   7.73608948E+39
 54195.254   1.17710679E+41   7.66613673E+39
 54196.215   1.12990023E+41   7.35869482E+39
 54196.219   1.12796498E+41   7.34609109E+39
 54196.223   1.12683829E+41   7.33875333E+39
 54201.305   9.18140421E+40   5.97956790E+39
 54201.309   9.12583156E+40   5.94337514E+39
 54201.312   9.17974772E+40   5.97848908E+39
 54202.176   8.94339013E+40   5.82455661E+39
 54202.180   8.98694120E+40   5.85292009E+39
 54202.184   8.96483080E+40   5.83852027E+39
 54204.184   8.45549750E+40   5.50680705E+39
 54204.188   8.40103351E+40   5.47133632E+39
 54204.191   8.55305192E+40   5.57034126E+39
 54208.246   7.39583690E+40   4.81668250E+39
 54208.250   7.36276319E+40   4.79514260E+39
 54208.254   7.32572994E+40   4.77102398E+39
 54209.273   7.21528552E+40   4.69909490E+39
 54209.277   7.22215286E+40   4.70356739E+39
 54209.281   7.24291810E+40   4.71709116E+39
 54210.246   7.12956090E+40   4.64326508E+39
 54210.250   7.02063097E+40   4.57232234E+39
 54210.254   6.97823974E+40   4.54471423E+39
 54221.246   5.17878376E+40   3.37278356E+39
 54221.250   5.21107545E+40   3.39381415E+39
 54221.254   5.22693836E+40   3.40414518E+39
 54227.258   4.73389364E+40   3.08304022E+39
 54227.262   4.82561973E+40   3.14277862E+39
 54227.266   4.81689024E+40   3.13709337E+39
 54232.340   4.39806405E+40   2.86432467E+39
 54232.344   4.38783210E+40   2.85766092E+39
 54232.348   4.38754034E+40   2.85747090E+39
 54234.223   4.24402025E+40   2.76400066E+39
 54234.227   4.24647167E+40   2.76559720E+39
 54234.230   4.21792977E+40   2.74700872E+39
 54234.234   4.21756197E+40   2.74676919E+39
