#generated on Tue Dec  8 18:18:30 2015 using mklcbol.pro
#
#INFILE   SN2007bj.dat
#NAME     SN2007bj
#AV_HOST  0.023 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.315 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.301 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54213.402   5.83587493E+42   5.03266892E+41
 54214.395   5.40770365E+42   4.65910352E+41
 54214.398   5.40615237E+42   4.65774878E+41
 54214.402   5.40461318E+42   4.65640443E+41
 54216.465   4.71009034E+42   4.04837324E+41
 54216.469   4.71505063E+42   4.05225063E+41
 54216.473   4.73379274E+42   4.06922486E+41
 54218.422   4.21162302E+42   3.60923528E+41
 54218.426   4.21456507E+42   3.61162225E+41
 54218.430   4.23738180E+42   3.63239574E+41
 54219.477   3.96217029E+42   3.38748835E+41
 54219.480   3.96412746E+42   3.38896128E+41
 54219.484   3.94256511E+42   3.36939036E+41
 54220.422   3.73192141E+42   3.18100487E+41
 54220.426   3.73138338E+42   3.18050621E+41
 54220.430   3.77427651E+42   3.21944491E+41
 54226.434   2.93485216E+42   2.47875073E+41
 54226.438   2.93563187E+42   2.47943364E+41
 54226.441   2.93399438E+42   2.47797318E+41
 54227.457   2.77497148E+42   2.34004320E+41
 54227.461   2.77393738E+42   2.33915985E+41
 54232.441   2.11420369E+42   1.77668408E+41
 54232.445   2.11756910E+42   1.77938104E+41
 54232.449   2.13171190E+42   1.79227050E+41
 54234.395   1.91163748E+42   1.60795438E+41
 54234.398   1.91126346E+42   1.60762003E+41
 54234.402   1.92875718E+42   1.62344385E+41
 54236.395   1.69420211E+42   1.42620367E+41
 54236.398   1.68742276E+42   1.42069239E+41
 54236.402   1.67400324E+42   1.40860103E+41
 54237.332   1.59264866E+42   1.34088392E+41
 54237.336   1.59075306E+42   1.33935179E+41
 54237.340   1.59659989E+42   1.34479269E+41
 54239.430   1.46682658E+42   1.23700958E+41
 54239.434   1.46890385E+42   1.23872919E+41
 54239.438   1.47195156E+42   1.24150064E+41
 54240.395   1.42399568E+42   1.20191516E+41
 54240.398   1.42219896E+42   1.20046481E+41
 54240.402   1.41539567E+42   1.19446654E+41
 54244.430   1.21646695E+42   1.02690651E+41
 54244.434   1.22282291E+42   1.03201392E+41
 54244.438   1.23521583E+42   1.04253674E+41
 54247.328   1.12126948E+42   9.47789637E+40
 54247.332   1.13075539E+42   9.57043071E+40
 54254.379   9.15152027E+41   7.75863767E+40
 54254.383   9.09686738E+41   7.71346314E+40
 54254.387   9.05998210E+41   7.68007495E+40
 54256.391   8.69852853E+41   7.37640283E+40
 54256.395   8.77591015E+41   7.43927515E+40
 54256.398   8.79639283E+41   7.45786803E+40
 54259.344   8.29018743E+41   7.02518385E+40
 54259.348   8.12159125E+41   6.88910571E+40
 54259.352   8.00212097E+41   6.78093925E+40
 54267.270   6.28769104E+41   5.35133534E+40
 54267.273   6.32964835E+41   5.38616633E+40
 54267.277   6.23749579E+41   5.30271967E+40
 54277.367   5.16624564E+41   4.40009596E+40
 54277.371   5.16912885E+41   4.40247935E+40
 54277.375   5.20305764E+41   4.43331054E+40
 54278.238   5.10646235E+41   4.35021651E+40
 54278.250   5.10513872E+41   4.34907549E+40
 54278.258   5.10426457E+41   4.34832262E+40
 54284.215   4.42218155E+41   3.75573776E+40
