#generated on Tue Dec  8 18:18:41 2015 using mklcbol.pro
#
#INFILE   SN2007cc.dat
#NAME     SN2007cc
#AV_HOST  0.630 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.207 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.528 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54226.289   1.24818071E+43   8.56252833E+41
 54227.242   1.22787058E+43   8.42400114E+41
 54227.246   1.22776014E+43   8.42324584E+41
 54227.250   1.22765000E+43   8.42249268E+41
 54232.242   9.42635816E+42   6.46544797E+41
 54232.246   9.37222123E+42   6.42854117E+41
 54232.250   9.11957484E+42   6.25438956E+41
 54234.289   7.88326062E+42   5.40437069E+41
 54234.293   7.87925202E+42   5.40162559E+41
 54234.297   7.92941013E+42   5.43619428E+41
 54236.270   6.90353298E+42   4.73105781E+41
 54236.273   6.89122173E+42   4.72261015E+41
 54236.277   6.86480024E+42   4.70440678E+41
 54237.266   6.45660689E+42   4.42364402E+41
 54237.270   6.45506151E+42   4.42258145E+41
 54237.273   6.45350645E+42   4.42151225E+41
 54240.305   5.35611201E+42   3.66778978E+41
