#generated on Tue Dec  8 18:19:22 2015 using mklcbol.pro
#
#INFILE   SN2007fs.dat
#NAME     SN2007fs
#AV_HOST  -1.435 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.087 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.366 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54299.430   1.61172765E+42   1.04966895E+41
 54299.441   1.61098929E+42   1.04918808E+41
 54300.398   1.54576516E+42   1.00670960E+41
 54300.402   1.52170184E+42   9.91037891E+40
 54300.406   1.49551765E+42   9.73984928E+40
 54307.320   8.33959388E+41   5.43132257E+40
 54307.328   8.73921139E+41   5.69158124E+40
 54313.367   5.94240294E+41   3.87010539E+40
 54313.371   6.10660895E+41   3.97704774E+40
 54348.262   1.80697939E+41   1.17683044E+40
 54348.266   1.81879718E+41   1.18452701E+40
 54348.270   1.85425004E+41   1.20761637E+40
 54348.273   1.83450048E+41   1.19475408E+40
 54350.324   1.74445013E+41   1.13610704E+40
 54350.328   1.74300162E+41   1.13516368E+40
 54350.336   1.74615693E+41   1.13721863E+40
 54351.320   1.70289686E+41   1.10904467E+40
 54351.324   1.70846099E+41   1.11266842E+40
 54351.328   1.71087186E+41   1.11423855E+40
 54351.332   1.70680962E+41   1.11159293E+40
 54352.258   1.66119157E+41   1.08188329E+40
 54352.262   1.66103410E+41   1.08178074E+40
 54352.266   1.65394626E+41   1.07716464E+40
 54352.270   1.65104902E+41   1.07527776E+40
 54353.223   1.60591208E+41   1.04588145E+40
 54353.227   1.60501871E+41   1.04529963E+40
 54353.234   1.60409521E+41   1.04469818E+40
 54353.262   1.60278640E+41   1.04384579E+40
 54354.191   1.56133979E+41   1.01685288E+40
 54354.195   1.56247537E+41   1.01759245E+40
 54354.203   1.56278705E+41   1.01779544E+40
 54356.230   1.49034460E+41   9.70615882E+39
 54356.234   1.48929675E+41   9.69933448E+39
 54356.242   1.48615976E+41   9.67890424E+39
 54363.188   1.23944134E+41   8.07210260E+39
 54363.191   1.22732751E+41   7.99320888E+39
 54363.195   1.23035213E+41   8.01290736E+39
 54363.199   1.23502716E+41   8.04335435E+39
 54373.191   9.76146487E+40   6.35734368E+39
 54373.195   9.75321555E+40   6.35197116E+39
 54379.199   8.55428705E+40   5.57114567E+39
 54379.203   8.58772221E+40   5.59292097E+39
 54383.156   7.83529485E+40   5.10288802E+39
 54383.160   7.82446389E+40   5.09583415E+39
 54383.168   7.85278062E+40   5.11427598E+39
 54402.094   5.03384945E+40   3.27839227E+39
 54402.098   5.03342168E+40   3.27811368E+39
 54402.105   5.03256494E+40   3.27755571E+39
 54404.109   4.82044041E+40   3.13940549E+39
