#generated on Tue Dec  8 18:19:34 2015 using mklcbol.pro
#
#INFILE   SN2007hj.dat
#NAME     SN2007hj
#AV_HOST  0.356 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.232 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.929 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54348.301   5.40497314E+42   3.90304597E+41
 54348.305   5.40601452E+42   3.90379774E+41
 54351.406   5.47721538E+42   3.95205550E+41
 54351.410   5.47220764E+42   3.94847376E+41
 54351.414   5.45065310E+42   3.93271911E+41
 54352.133   5.33414410E+42   3.84777912E+41
 54352.148   5.32968862E+42   3.84456064E+41
 54352.156   5.31411438E+42   3.83318332E+41
 54353.332   5.04917683E+42   3.64060951E+41
 54353.340   5.04765497E+42   3.63949980E+41
 54354.289   4.74709861E+42   3.42167505E+41
 54354.293   4.72094209E+42   3.40257149E+41
 54355.320   4.33757521E+42   3.12499098E+41
 54355.324   4.32236269E+42   3.11415045E+41
 54355.328   4.31878634E+42   3.11154917E+41
 54356.316   3.96517441E+42   2.85579607E+41
 54356.320   3.98161986E+42   2.86781499E+41
 54357.324   3.63844163E+42   2.61925117E+41
 54357.328   3.61815435E+42   2.60445365E+41
 54358.344   3.28200128E+42   2.36122903E+41
 54358.348   3.27724572E+42   2.35776785E+41
 54361.375   2.47206469E+42   1.77583469E+41
 54361.379   2.47509166E+42   1.77795415E+41
 54361.383   2.47038017E+42   1.77452769E+41
 54363.227   2.12536057E+42   1.52575779E+41
 54363.230   2.14496066E+42   1.54003661E+41
 54368.141   1.47995286E+42   1.06180968E+41
 54368.145   1.48036852E+42   1.06211638E+41
 54372.398   1.06658738E+42   7.65023953E+40
 54372.402   1.05793264E+42   7.58874141E+40
 54372.406   1.04587296E+42   7.50104578E+40
 54375.375   8.37858703E+41   6.00886187E+40
 54377.258   7.27483764E+41   5.21801978E+40
 54377.262   7.23077805E+41   5.18598451E+40
 54379.234   6.56316669E+41   4.70773313E+40
 54379.238   6.55919184E+41   4.70493104E+40
 54380.109   6.40495705E+41   4.59465221E+40
 54380.113   6.43210343E+41   4.61421872E+40
 54381.133   6.24508361E+41   4.48036967E+40
 54381.137   6.22807588E+41   4.46800216E+40
 54383.215   5.96189031E+41   4.27736517E+40
 54383.219   5.92353503E+41   4.24946080E+40
 54400.332   3.58008356E+41   2.57055274E+40
 54400.336   3.60369502E+41   2.58745717E+40
 54402.172   3.37248504E+41   2.42260992E+40
 54402.176   3.29146181E+41   2.36469534E+40
 54402.180   3.28631491E+41   2.36095287E+40
 54404.176   3.14339022E+41   2.25910659E+40
 54404.180   3.17401545E+41   2.28101961E+40
 54404.184   3.17757836E+41   2.28361894E+40
 54405.098   3.14299371E+41   2.25907211E+40
 54405.102   3.14598785E+41   2.26121529E+40
 54405.105   3.16390617E+41   2.27427438E+40
 54408.094   3.01567026E+41   2.16829403E+40
 54408.098   2.99402954E+41   2.15279260E+40
 54408.102   2.98818718E+41   2.14853736E+40
 54411.090   2.72287369E+41   1.95760720E+40
 54411.094   2.72530055E+41   1.95932685E+40
 54411.098   2.71901877E+41   1.95482963E+40
 54411.102   2.69325207E+41   1.93605506E+40
 54412.086   2.61864152E+41   1.88250746E+40
 54412.094   2.61512877E+41   1.88000881E+40
 54412.102   2.61299201E+41   1.87847928E+40
 54412.105   2.62166995E+41   1.88480669E+40
 54415.211   2.48051501E+41   1.78429667E+40
 54415.215   2.47993802E+41   1.78388683E+40
 54415.219   2.44421233E+41   1.75832803E+40
 54415.223   2.43618797E+41   1.75248023E+40
 54424.062   2.37354406E+41   1.70947739E+40
 54425.066   2.32429287E+41   1.67450010E+40
 54425.070   2.31048304E+41   1.66461658E+40
 54427.074   2.24543633E+41   1.61896691E+40
 54427.078   2.21981064E+41   1.60065604E+40
 54427.086   2.29079354E+41   1.65250711E+40
 54429.059   2.10800799E+41   1.52006682E+40
 54429.062   2.19422999E+41   1.58167210E+40
 54429.066   2.24813081E+41   1.62101636E+40
 54431.109   2.04061752E+41   1.47075086E+40
 54431.113   2.05304188E+41   1.47963887E+40
 54432.070   1.88002144E+41   1.35455010E+40
 54432.074   1.86438589E+41   1.34335462E+40
 54432.078   1.82905291E+41   1.31758291E+40
 54433.078   1.66916302E+41   1.20232280E+40
 54433.082   1.68180505E+41   1.21136307E+40
 54433.086   1.68457995E+41   1.21338972E+40
 54440.207   1.27477699E+41   9.17817477E+39
 54440.211   1.28356415E+41   9.24094189E+39
 54440.219   1.48043493E+41   1.06786522E+40
 54455.066   1.24205611E+41   9.00008704E+39
 54455.070   1.24455796E+41   9.01780234E+39
 54455.074   1.25813157E+41   9.11436755E+39
 54456.070   1.22893864E+41   8.90627515E+39
 54456.074   1.22812137E+41   8.90045846E+39
 54456.078   1.22799774E+41   8.89957675E+39
 54457.062   1.19823276E+41   8.68723507E+39
 54457.066   1.19812409E+41   8.68646012E+39
 54477.090   7.69939763E+40   5.58800249E+39
