#generated on Tue Dec  8 18:19:40 2015 using mklcbol.pro
#
#INFILE   SN2007hu.dat
#NAME     SN2007hu
#AV_HOST  0.249 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.127 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.964 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54358.207   3.97239138E+42   3.20670813E+41
 54367.105   2.28443603E+42   1.83858157E+41
 54367.109   2.28383990E+42   1.83809955E+41
 54367.117   2.28263840E+42   1.83712798E+41
 54369.113   1.99111801E+42   1.60152008E+41
 54369.117   1.93718433E+42   1.55886346E+41
 54378.133   1.04522668E+42   8.37938918E+40
 54378.137   1.06016498E+42   8.49848143E+40
 54378.145   1.05584653E+42   8.46302532E+40
 54379.129   1.00096914E+42   8.02220251E+40
 54379.133   9.91215260E+41   7.94449985E+40
 54379.137   9.95472716E+41   7.97818698E+40
 54379.141   1.01395113E+42   8.13032089E+40
 54404.066   3.89678737E+41   3.13686264E+40
 54404.070   3.89582450E+41   3.13607977E+40
 54404.074   3.89486136E+41   3.13529672E+40
 54404.078   3.89389801E+41   3.13451330E+40
 54405.078   3.65241548E+41   2.93820370E+40
