#generated on Tue Dec  8 18:19:45 2015 using mklcbol.pro
#
#INFILE   SN2007if.dat
#NAME     SN2007if
#AV_HOST  -0.057 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.222 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 37.634 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54356.355   1.66719728E+43   1.08579462E+42
 54357.359   1.61946905E+43   1.05471069E+42
 54357.363   1.61925421E+43   1.05457077E+42
 54357.371   1.61882862E+43   1.05429360E+42
 54361.438   1.30929337E+43   8.52702752E+41
 54361.441   1.30491174E+43   8.49849129E+41
 54361.445   1.30684841E+43   8.51110423E+41
 54361.449   1.28457550E+43   8.36604758E+41
 54363.273   1.15501839E+43   7.52228168E+41
 54363.277   1.15947327E+43   7.55129498E+41
 54363.281   1.14810049E+43   7.47722754E+41
 54363.285   1.16083943E+43   7.56019239E+41
 54368.199   8.81679576E+42   5.74210957E+41
 54369.258   8.31319835E+42   5.41413197E+41
 54369.266   8.29560445E+42   5.40267360E+41
 54377.309   5.18866833E+42   3.37922108E+41
 54377.312   5.22983723E+42   3.40603313E+41
 54377.320   5.17294416E+42   3.36898041E+41
 54379.340   4.79507320E+42   3.12288460E+41
 54379.344   4.80546264E+42   3.12965092E+41
 54379.348   4.79101777E+42   3.12024342E+41
 54379.352   4.81348634E+42   3.13487652E+41
 54383.293   4.20003067E+42   2.73535159E+41
 54383.297   4.13430229E+42   2.69254470E+41
 54383.312   4.13155762E+42   2.69075719E+41
 54383.316   4.13896343E+42   2.69558036E+41
 54394.250   3.08986725E+42   2.01233609E+41
 54394.254   3.10894120E+42   2.02475837E+41
 54394.262   3.07231694E+42   2.00090611E+41
 54395.332   2.95495192E+42   1.92446986E+41
 54395.336   2.88002594E+42   1.87567286E+41
 54401.395   2.40763081E+42   1.56801635E+41
 54401.398   2.39080787E+42   1.55706008E+41
 54402.281   2.43141191E+42   1.58350425E+41
 54402.285   2.40686595E+42   1.56751822E+41
 54402.289   2.49168066E+42   1.62275545E+41
 54403.387   2.53222098E+42   1.64915812E+41
 54403.391   2.52429912E+42   1.64399886E+41
 54403.395   2.47803142E+42   1.61386611E+41
 54404.309   2.41005166E+42   1.56959298E+41
 54404.312   2.43048116E+42   1.58289809E+41
 54404.316   2.36375144E+42   1.53943906E+41
 54404.320   2.38587712E+42   1.55384883E+41
 54405.375   2.34929247E+42   1.53002237E+41
 54405.379   2.34961446E+42   1.53023207E+41
 54405.383   2.36676177E+42   1.54139959E+41
 54406.215   2.37788766E+42   1.54864554E+41
 54406.219   2.38011217E+42   1.55009430E+41
 54406.223   2.42666759E+42   1.58041443E+41
 54406.227   2.41673983E+42   1.57394878E+41
 54407.316   2.37369179E+42   1.54591291E+41
 54407.320   2.34958717E+42   1.53021431E+41
 54407.324   2.32157384E+42   1.51197008E+41
 54407.328   2.32180123E+42   1.51211817E+41
 54408.195   2.27467511E+42   1.48142637E+41
 54408.199   2.25958781E+42   1.47160047E+41
 54408.207   2.23185919E+42   1.45354167E+41
 54411.168   2.13802407E+42   1.39242972E+41
 54411.172   2.17630657E+42   1.41736194E+41
 54411.176   2.20271935E+42   1.43456378E+41
 54411.180   2.24237726E+42   1.46039176E+41
 54412.281   2.22476936E+42   1.44892428E+41
 54412.285   2.19086443E+42   1.42684303E+41
 54412.289   2.19404057E+42   1.42891156E+41
 54415.285   2.09983238E+42   1.36755664E+41
 54415.289   2.10853032E+42   1.37322134E+41
 54415.293   2.13118840E+42   1.38797786E+41
 54415.297   2.10699155E+42   1.37221919E+41
 54419.176   1.98493387E+42   1.29272675E+41
 54419.180   1.98070058E+42   1.28996974E+41
 54419.184   2.00981478E+42   1.30893093E+41
 54419.188   2.10291008E+42   1.36956105E+41
 54429.145   2.21403433E+42   1.44193288E+41
 54431.234   1.98317164E+42   1.29157906E+41
 54431.238   1.96047516E+42   1.27679754E+41
 54433.199   1.77045154E+42   1.15304097E+41
 54433.203   1.79393285E+42   1.16833363E+41
 54433.211   1.82443465E+42   1.18819852E+41
 54439.121   1.40558401E+42   9.15413898E+40
 54439.125   1.40058310E+42   9.12156960E+40
 54439.133   1.38423423E+42   9.01509441E+40
 54440.281   1.33800813E+42   8.71403795E+40
 54440.289   1.33773050E+42   8.71222984E+40
 54448.164   1.28428117E+42   8.36413068E+40
