#generated on Tue Dec  8 18:19:52 2015 using mklcbol.pro
#
#INFILE   SN2007ir.dat
#NAME     SN2007ir
#AV_HOST  0.552 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.130 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.952 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54361.469   1.01439050E+42   7.10812450E+40
 54363.359   8.85209347E+41   6.20245250E+40
 54363.363   8.84966647E+41   6.20075106E+40
 54363.367   8.84724602E+41   6.19905428E+40
 54368.477   6.34714204E+41   4.44693652E+40
 54368.480   6.22300130E+41   4.36008145E+40
 54368.484   6.42319115E+41   4.50089344E+40
 54369.363   6.31339484E+41   4.42439105E+40
 54369.367   6.36496193E+41   4.46050015E+40
 54369.371   6.34000529E+41   4.44312463E+40
 54370.387   6.29332898E+41   4.41127329E+40
 54370.391   6.47745218E+41   4.53931600E+40
 54379.398   5.27758318E+41   3.69784168E+40
 54379.402   5.20353105E+41   3.64596720E+40
 54381.438   4.43660044E+41   3.10977505E+40
 54381.441   4.35953880E+41   3.05621743E+40
 54381.445   4.35087400E+41   3.05010777E+40
 54383.352   3.53047456E+41   2.47669439E+40
 54383.355   3.52944381E+41   2.47597439E+40
 54383.359   3.53645077E+41   2.48093692E+40
 54384.410   3.31473425E+41   2.32605536E+40
 54384.414   3.39352154E+41   2.38109497E+40
