#generated on Tue Dec  8 18:20:52 2015 using mklcbol.pro
#
#INFILE   SN2007ss.dat
#NAME     SN2007ss
#AV_HOST  0.667 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.040 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.137 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54456.504   5.10673647E+42   3.56576130E+41
 54461.523   3.72355940E+42   2.59948706E+41
 54461.527   3.72259810E+42   2.59881536E+41
 54461.531   3.72163951E+42   2.59814551E+41
 54464.547   3.03907735E+42   2.12117131E+41
 54464.551   3.02967050E+42   2.11462499E+41
 54464.555   3.03595465E+42   2.11910485E+41
 54474.484   1.53579195E+42   1.07086066E+41
 54474.488   1.56644423E+42   1.09221495E+41
 54474.492   1.57581006E+42   1.09873206E+41
 54474.496   1.55028318E+42   1.08087745E+41
 54476.535   1.35214105E+42   9.42602450E+40
 54476.539   1.35280588E+42   9.43066023E+40
 54476.543   1.35189399E+42   9.42429024E+40
 54477.543   1.26247381E+42   8.80057621E+40
 54477.547   1.25026891E+42   8.71549949E+40
 54477.551   1.24153074E+42   8.65442699E+40
 54483.516   8.17249677E+41   5.69647730E+40
 54483.520   8.11586777E+41   5.65705438E+40
 54483.523   8.25465364E+41   5.75406146E+40
 54485.531   7.38125448E+41   5.14529852E+40
 54485.535   7.44403880E+41   5.18899555E+40
 54485.543   7.47854929E+41   5.21312313E+40
 54491.516   5.85135514E+41   4.07930215E+40
 54491.520   6.00303457E+41   4.18506117E+40
 54494.531   5.22025405E+41   3.63935696E+40
 54494.535   5.20156856E+41   3.62635359E+40
 54495.512   4.85041508E+41   3.38175851E+40
 54495.516   4.81582641E+41   3.35764961E+40
 54495.520   4.81970912E+41   3.36034976E+40
 54495.523   4.72649501E+41   3.29516358E+40
 54496.512   4.62885819E+41   3.22739014E+40
 54496.516   4.57216873E+41   3.18794751E+40
 54496.520   4.61461625E+41   3.21765204E+40
 54497.496   4.60289820E+41   3.20968961E+40
 54497.500   4.74052561E+41   3.30543484E+40
 54497.504   4.77710973E+41   3.33103174E+40
 54498.500   4.60747329E+41   3.21256831E+40
 54498.504   4.50986385E+41   3.14465513E+40
 54498.512   4.41681045E+41   3.07954422E+40
 54499.445   4.19173618E+41   2.92251316E+40
 54499.449   4.16210311E+41   2.90186843E+40
 54499.457   4.16102499E+41   2.90111980E+40
 54502.508   4.01965614E+41   2.80258254E+40
 54502.512   4.03432089E+41   2.81280226E+40
 54502.516   4.12923049E+41   2.87887935E+40
 54502.520   4.21788110E+41   2.94087909E+40
 54503.453   4.16513076E+41   2.90412886E+40
 54503.457   4.18961163E+41   2.92118073E+40
 54503.465   4.17689322E+41   2.91228733E+40
 54504.492   4.10401708E+41   2.86148110E+40
 54504.496   4.04627425E+41   2.82128341E+40
 54504.500   4.06091813E+41   2.83152967E+40
 54505.523   3.90874089E+41   2.72552975E+40
 54505.527   3.86849482E+41   2.69748177E+40
 54505.531   3.92289118E+41   2.73533282E+40
 54505.535   3.88637818E+41   2.70979158E+40
 54508.457   3.55892605E+41   2.48151548E+40
 54508.461   3.55001260E+41   2.47530772E+40
 54508.465   3.54969685E+41   2.47508773E+40
 54515.531   3.34947968E+41   2.33612170E+40
 54515.535   3.34957712E+41   2.33619030E+40
 54515.539   3.34968511E+41   2.33626627E+40
