#generated on Tue Dec  8 18:20:57 2015 using mklcbol.pro
#
#INFILE   SN2007su.dat
#NAME     SN2007su
#AV_HOST  0.588 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.222 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.435 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54465.078   7.93519621E+42   5.46400120E+41
 54468.066   6.67885545E+42   4.59753619E+41
 54468.070   6.67729963E+42   4.59646345E+41
 54468.074   6.67572877E+42   4.59538029E+41
 54470.066   5.90505055E+42   4.06408458E+41
 54470.070   5.85640100E+42   4.03078685E+41
 54470.074   5.85483356E+42   4.02970704E+41
 54477.074   3.65958250E+42   2.51695665E+41
 54477.078   3.65866342E+42   2.51632318E+41
 54477.086   3.65681870E+42   2.51505162E+41
