#generated on Tue Dec  8 18:21:21 2015 using mklcbol.pro
#
#INFILE   SN2008C.dat
#NAME     SN2008C
#AV_HOST  0.409 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.223 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.288 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54470.164   7.29087454E+42   5.19314739E+41
 54475.367   5.49688250E+42   3.91139938E+41
 54475.371   5.49540242E+42   3.91034331E+41
 54475.375   5.49391392E+42   3.90928114E+41
 54475.379   5.49242256E+42   3.90821695E+41
 54476.414   5.09656763E+42   3.62582009E+41
 54476.418   5.08324767E+42   3.61644327E+41
 54476.422   5.07690306E+42   3.61195466E+41
 54476.426   5.07241275E+42   3.60873507E+41
 54478.227   4.42073707E+42   3.14382745E+41
 54478.230   4.42011550E+42   3.14337861E+41
 54478.234   4.42113554E+42   3.14411901E+41
 54480.277   3.77535000E+42   2.68322768E+41
 54480.281   3.77780657E+42   2.68494241E+41
 54480.285   3.77897273E+42   2.68575768E+41
 54480.289   3.77126534E+42   2.68022474E+41
 54483.250   3.02415678E+42   2.14695151E+41
 54483.254   3.01920091E+42   2.14344350E+41
 54483.258   3.00638315E+42   2.13424460E+41
 54484.324   2.79403334E+42   1.98288844E+41
 54484.328   2.78746207E+42   1.97825823E+41
 54484.332   2.79053198E+42   1.98042406E+41
 54484.336   2.79965216E+42   1.98697440E+41
 54488.277   2.19820687E+42   1.55891232E+41
 54488.285   2.17425598E+42   1.54174035E+41
 54488.301   2.19622189E+42   1.55718743E+41
 54488.305   2.18846822E+42   1.55170329E+41
 54496.262   1.41006161E+42   9.98799464E+40
 54496.266   1.40193434E+42   9.93053596E+40
 54496.270   1.39007321E+42   9.84557764E+40
 54507.195   8.44645645E+41   5.98566798E+40
 54507.199   8.34029428E+41   5.91090801E+40
 54507.203   8.32579414E+41   5.90065438E+40
 54507.207   8.25920238E+41   5.85293583E+40
 54509.180   7.95037177E+41   5.63635189E+40
 54509.184   8.00222400E+41   5.67288910E+40
 54509.188   8.02678152E+41   5.69050669E+40
 54510.125   7.93088021E+41   5.62336048E+40
 54510.133   7.83691271E+41   5.55597804E+40
 54516.207   6.57558485E+41   4.66126117E+40
 54516.211   6.57671728E+41   4.66197801E+40
 54520.176   6.10788155E+41   4.33111699E+40
 54520.180   6.10771724E+41   4.33100191E+40
 54520.184   6.10712081E+41   4.33058191E+40
 54520.188   6.15461569E+41   4.36465905E+40
 54524.238   5.80023422E+41   4.11539987E+40
 54524.242   5.83307654E+41   4.13852318E+40
 54524.246   5.83681816E+41   4.14116730E+40
 54524.250   6.00070368E+41   4.25883597E+40
 54527.094   5.43788887E+41   3.85974813E+40
 54527.098   5.45116659E+41   3.86911733E+40
 54527.102   5.41613123E+41   3.84396646E+40
 54528.184   5.19609381E+41   3.68824422E+40
 54528.188   5.17502984E+41   3.67337069E+40
 54528.191   5.17507025E+41   3.67341021E+40
 54531.098   4.66592668E+41   3.31310583E+40
 54531.102   4.68300919E+41   3.32515788E+40
 54531.105   4.74044656E+41   3.36642767E+40
 54536.141   4.59396866E+41   3.26398958E+40
 54536.145   4.59399993E+41   3.26401210E+40
 54536.148   4.59403119E+41   3.26403449E+40
 54537.133   4.60773942E+41   3.27377368E+40
