#generated on Tue Dec  8 18:21:47 2015 using mklcbol.pro
#
#INFILE   SN2008Z.dat
#NAME     SN2008Z
#AV_HOST  0.341 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.031 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.806 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54506.402   3.26218417E+42   2.63794448E+41
 54508.375   4.18485536E+42   3.38415959E+41
 54508.379   4.18653952E+42   3.38552207E+41
 54508.383   4.18824011E+42   3.38689778E+41
 54509.301   4.56110811E+42   3.68860084E+41
 54509.305   4.55709042E+42   3.68540248E+41
 54509.309   4.55399738E+42   3.68296738E+41
 54509.312   4.55075985E+42   3.68030067E+41
 54510.395   4.93262072E+42   3.98925986E+41
 54510.398   4.92953361E+42   3.98680380E+41
 54510.402   4.91474362E+42   3.97507423E+41
 54510.406   4.82416499E+42   3.90086855E+41
 54520.293   4.93506531E+42   3.98744249E+41
 54520.297   4.92105693E+42   3.97628493E+41
 54520.301   4.97247639E+42   4.01837246E+41
 54524.293   4.25501945E+42   3.43745960E+41
 54524.297   4.20772807E+42   3.39967095E+41
 54524.305   4.27289662E+42   3.45301276E+41
 54531.148   2.66095688E+42   2.14830858E+41
 54531.152   2.63704371E+42   2.12919149E+41
 54531.160   2.61504425E+42   2.11122045E+41
 54532.254   2.43691663E+42   1.96677079E+41
 54532.258   2.43478602E+42   1.96506080E+41
 54532.262   2.43366029E+42   1.96414483E+41
 54535.289   2.03420239E+42   1.64002382E+41
 54535.293   2.03840284E+42   1.64337950E+41
 54535.297   2.03564760E+42   1.64113412E+41
 54537.168   1.83578681E+42   1.47909898E+41
 54537.172   1.84136705E+42   1.48356389E+41
 54537.176   1.83144018E+42   1.47547803E+41
 54538.207   1.74656929E+42   1.40688111E+41
 54538.211   1.73810453E+42   1.40009944E+41
 54538.219   1.74706480E+42   1.40740325E+41
 54539.133   1.67320605E+42   1.34760923E+41
 54539.137   1.67727559E+42   1.35086830E+41
 54539.141   1.68001987E+42   1.35306164E+41
 54539.145   1.67065387E+42   1.34543583E+41
 54540.188   1.59912697E+42   1.28749149E+41
 54540.191   1.59196287E+42   1.28175344E+41
 54540.199   1.62999640E+42   1.31272689E+41
 54547.121   1.30192362E+42   1.04837167E+41
 54547.125   1.30776060E+42   1.05301850E+41
 54549.242   1.14934355E+42   9.25126545E+40
 54549.246   1.14243721E+42   9.19584266E+40
 54549.250   1.12267511E+42   9.03497564E+40
 54553.105   8.89086327E+41   7.15205615E+40
 54553.113   8.82143948E+41   7.09657355E+40
 54553.117   8.54455769E+41   6.87163951E+40
 54556.172   7.14987505E+41   5.74933611E+40
 54556.176   7.18146579E+41   5.77464627E+40
 54556.180   7.25489797E+41   5.83424254E+40
 54558.129   6.69049140E+41   5.38075949E+40
 54558.133   6.68439418E+41   5.37591816E+40
 54558.141   6.67871674E+41   5.37132770E+40
 54569.148   4.62359933E+41   3.72096943E+40
 54569.152   4.59744645E+41   3.70006694E+40
 54569.156   4.59461634E+41   3.69776927E+40
 54575.258   4.06852176E+41   3.27539940E+40
 54575.262   4.05631517E+41   3.26560749E+40
 54575.266   4.09833364E+41   3.29924218E+40
 54579.141   3.86009639E+41   3.10872331E+40
 54579.145   3.83496232E+41   3.08861524E+40
 54579.152   3.86587415E+41   3.11380943E+40
 54584.121   3.54439541E+41   2.85569511E+40
 54584.125   3.55131969E+41   2.86134517E+40
 54585.207   3.47301067E+41   2.79858260E+40
 54585.211   3.44085344E+41   2.77292313E+40
 54585.215   3.42857391E+41   2.76290872E+40
 54593.180   2.85117117E+41   2.29828588E+40
 54593.184   2.86373092E+41   2.30830903E+40
 54593.188   2.91076285E+41   2.34669829E+40
 54596.133   2.75394927E+41   2.22068176E+40
 54596.137   2.75374477E+41   2.22051735E+40
 54596.141   2.75353498E+41   2.22034860E+40
 54616.180   1.73501083E+41   1.39913293E+40
