#generated on Tue Dec  8 18:22:06 2015 using mklcbol.pro
#
#INFILE   SN2008ai.dat
#NAME     SN2008ai
#AV_HOST  1.172 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.044 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.958 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54513.488   4.61993476E+42   3.08335277E+41
 54514.273   4.37695087E+42   2.92129797E+41
 54514.277   4.37578019E+42   2.92051724E+41
 54516.277   3.78133387E+42   2.52396650E+41
 54516.281   3.78013666E+42   2.52316766E+41
 54520.352   2.56673639E+42   1.71320669E+41
 54520.355   2.47292654E+42   1.65060586E+41
 54520.359   2.51101342E+42   1.67594368E+41
 54520.363   2.41010173E+42   1.60848498E+41
 54524.340   1.74389608E+42   1.16370309E+41
 54524.344   1.81185238E+42   1.20896947E+41
 54524.348   1.79383994E+42   1.19693345E+41
 54549.301   6.77260730E+41   4.51884490E+40
 54549.305   6.82999499E+41   4.55709968E+40
 54556.215   6.15253683E+41   4.10818611E+40
 54556.219   6.15283460E+41   4.10838756E+40
 54556.227   6.15342825E+41   4.10878921E+40
 54558.184   6.43554218E+41   4.29859940E+40
