#generated on Tue Dec  8 18:22:15 2015 using mklcbol.pro
#
#INFILE   SN2008at.dat
#NAME     SN2008at
#AV_HOST  0.364 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.244 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.939 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54530.273   5.29442113E+42   3.79386295E+41
 54539.176   2.89676232E+42   2.07006966E+41
 54539.180   2.89599356E+42   2.06951794E+41
 54539.184   2.89521575E+42   2.06895975E+41
 54547.152   1.68189804E+42   1.19925638E+41
 54547.156   1.72230626E+42   1.22792110E+41
 54549.281   1.45702379E+42   1.03841101E+41
 54549.285   1.43530719E+42   1.02300250E+41
 54551.223   1.24134040E+42   8.84405654E+40
 54551.227   1.24946449E+42   8.90168234E+40
 54551.230   1.24683519E+42   8.88054936E+40
 54553.152   1.10054088E+42   7.83714946E+40
 54553.156   1.09809825E+42   7.81981243E+40
 54553.160   1.08560884E+42   7.73123193E+40
 54556.195   8.68602344E+41   6.18603061E+40
 54556.199   8.55238277E+41   6.09125855E+40
 54556.203   8.41421810E+41   5.99142633E+40
 54558.164   7.58602984E+41   5.40346509E+40
 54558.168   7.66286741E+41   5.45790484E+40
 54558.172   7.73380772E+41   5.50918882E+40
 54561.227   7.14618234E+41   5.09530921E+40
 54561.230   7.16956955E+41   5.11189151E+40
 54561.234   7.36376842E+41   5.25224705E+40
 54567.293   6.59349002E+41   4.70826483E+40
 54567.297   6.51750337E+41   4.65457833E+40
 54567.301   6.47498509E+41   4.62376893E+40
 54569.164   5.92253777E+41   4.23187363E+40
 54569.168   5.89231120E+41   4.21043055E+40
 54569.172   5.72035535E+41   4.08576677E+40
 54570.129   5.36345755E+41   3.83004783E+40
 54570.133   5.34002598E+41   3.81345815E+40
 54576.234   4.18150156E+41   2.98463043E+40
 54576.238   4.35429142E+41   3.10710069E+40
 54579.156   4.27180382E+41   3.04875111E+40
 54579.160   4.48337163E+41   3.19871853E+40
 54579.164   4.62835429E+41   3.30368209E+40
 54584.156   4.10653419E+41   2.93316361E+40
 54584.160   4.05689782E+41   2.89804049E+40
 54584.164   4.08915433E+41   2.92143167E+40
 54586.160   4.03879909E+41   2.88631260E+40
 54586.164   3.94910493E+41   2.82309459E+40
 54586.168   3.91399257E+41   2.79762242E+40
 54590.184   3.61044917E+41   2.58169904E+40
 54590.188   3.77433226E+41   2.69703221E+40
 54593.199   3.54045476E+41   2.53232450E+40
 54593.203   3.58510999E+41   2.56378227E+40
 54593.207   3.65332973E+41   2.61330195E+40
 54596.148   3.39675761E+41   2.43520547E+40
 54596.152   3.33641537E+41   2.39259823E+40
 54596.156   3.34813018E+41   2.40112189E+40
 54597.273   3.27132575E+41   2.34799454E+40
 54597.277   3.27107353E+41   2.34781995E+40
 54597.281   3.27082494E+41   2.34764803E+40
 54616.203   2.25731449E+41   1.62014758E+40
