#generated on Tue Dec  8 18:22:29 2015 using mklcbol.pro
#
#INFILE   SN2008by.dat
#NAME     SN2008by
#AV_HOST  -0.018 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.036 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.501 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54582.133   6.96385499E+42   4.53534588E+41
 54583.207   6.71772568E+42   4.37504939E+41
 54583.211   6.71662161E+42   4.37433034E+41
 54583.215   6.71550218E+42   4.37360129E+41
 54584.234   6.37841439E+42   4.15406632E+41
 54584.238   6.37195007E+42   4.14985631E+41
 54584.242   6.28458697E+42   4.09295939E+41
 54586.391   5.49599220E+42   3.57937172E+41
 54586.395   5.47601657E+42   3.56636220E+41
 54586.398   5.40988749E+42   3.52329435E+41
 54603.246   1.93307939E+42   1.25895552E+41
 54603.250   1.91532746E+42   1.24739422E+41
 54603.254   1.91788197E+42   1.24905790E+41
 54603.262   1.91598322E+42   1.24782130E+41
 54621.180   9.56578938E+41   6.22990622E+40
 54621.184   9.43970719E+41   6.14779274E+40
 54621.188   9.67192092E+41   6.29902644E+40
 54624.184   8.58408730E+41   5.59055366E+40
 54624.188   8.34282521E+41   5.43342704E+40
 54624.191   8.34138818E+41   5.43249114E+40
 54631.164   6.81464189E+41   4.43816795E+40
 54631.168   6.81422325E+41   4.43789531E+40
 54631.172   6.81379620E+41   4.43761718E+40
