#generated on Tue Dec  8 18:23:01 2015 using mklcbol.pro
#
#INFILE   SN2008dt.dat
#NAME     SN2008dt
#AV_HOST  0.458 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.127 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.964 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54655.250   3.51448875E+42   2.52523018E+41
 54671.289   1.32661774E+42   9.51867100E+40
 54671.293   1.32638028E+42   9.51696579E+40
 54671.297   1.32614735E+42   9.51529320E+40
 54672.211   1.27351538E+42   9.13743680E+40
 54672.215   1.32983736E+42   9.54171854E+40
 54672.219   1.33661882E+42   9.59086672E+40
 54676.230   1.09519240E+42   7.85750230E+40
 54676.234   1.09456721E+42   7.85300803E+40
 54676.238   1.09393773E+42   7.84848300E+40
 54676.242   1.09331237E+42   7.84398759E+40
 54677.230   9.31447270E+41   6.68121818E+40
