#generated on Tue Dec  8 18:23:11 2015 using mklcbol.pro
#
#INFILE   SN2008gb.dat
#NAME     SN2008gb
#AV_HOST  0.182 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.530 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.063 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54747.363   7.64512393E+42   5.37388780E+41
 54748.488   7.64228479E+42   5.37303550E+41
 54748.492   7.64214791E+42   5.37294246E+41
 54748.496   7.64201468E+42   5.37285193E+41
 54749.500   7.57571860E+42   5.32684070E+41
 54749.504   7.59731846E+42   5.34177327E+41
 54749.508   7.60575519E+42   5.34780119E+41
 54752.418   7.06920953E+42   4.97064173E+41
 54752.422   7.07576066E+42   4.97518098E+41
 54759.426   4.37854248E+42   3.07294434E+41
 54759.430   4.34346164E+42   3.04813281E+41
 54760.215   4.10555957E+42   2.88013259E+41
 54760.219   4.10457802E+42   2.87943738E+41
 54760.223   4.09873150E+42   2.87527642E+41
 54763.414   3.25122429E+42   2.27687469E+41
 54763.418   3.26434847E+42   2.28590712E+41
 54763.426   3.25647292E+42   2.28041740E+41
 54763.430   3.25034977E+42   2.27606088E+41
 54771.379   1.99361917E+42   1.39130858E+41
 54771.383   1.99043755E+42   1.38909482E+41
 54771.387   1.97204867E+42   1.37602092E+41
 54772.398   1.90279697E+42   1.32757479E+41
 54772.402   1.90704224E+42   1.33052281E+41
 54772.406   1.91863551E+42   1.33877037E+41
 54775.430   1.72153553E+42   1.20153292E+41
 54775.434   1.68615028E+42   1.17701417E+41
 54775.438   1.67374982E+42   1.16819311E+41
 54778.277   1.51976970E+42   1.06091070E+41
 54778.281   1.51688429E+42   1.05891622E+41
 54778.285   1.53621393E+42   1.07234958E+41
 54781.262   1.36803888E+42   9.55264582E+40
 54781.266   1.36786903E+42   9.55148035E+40
 54781.270   1.34304889E+42   9.37917551E+40
 54781.285   1.30850059E+42   9.13347531E+40
 54831.219   2.54701519E+41   1.78256410E+40
 54831.223   2.64097287E+41   1.84799591E+40
 54857.168   3.77794562E+41   2.66779290E+40
 54857.172   3.77850329E+41   2.66819172E+40
