#generated on Tue Dec  8 18:23:21 2015 using mklcbol.pro
#
#INFILE   SN2008hj.dat
#NAME     SN2008hj
#AV_HOST  -0.077 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.094 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.117 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54803.098   7.95654736E+42   5.18185608E+41
 54811.105   5.81646502E+42   3.78808587E+41
 54811.109   5.81533187E+42   3.78734788E+41
 54811.113   5.81419535E+42   3.78660771E+41
 54811.117   5.81304965E+42   3.78586155E+41
 54825.109   2.36645371E+42   1.54119896E+41
 54825.113   2.36578000E+42   1.54076020E+41
 54825.117   2.36510127E+42   1.54031816E+41
 54825.121   2.36442283E+42   1.53987631E+41
 54831.074   1.53015828E+42   9.96545313E+40
