#generated on Tue Dec  8 18:35:51 2015 using mklcbol.pro
#
#INFILE   SN2008hv.dat
#NAME     SN2008hv
#AV_HOST  0.229 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.086 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.665 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54804.363   6.82503765E+41   5.91098971E+40
 54805.434   1.19613816E+42   1.03751506E+41
 54805.438   1.19837152E+42   1.03945729E+41
 54805.441   1.20060384E+42   1.04139865E+41
 54805.445   1.20284381E+42   1.04334670E+41
 54806.449   1.85593022E+42   1.61156917E+41
 54806.461   1.86302247E+42   1.61777877E+41
 54806.477   1.87061815E+42   1.62449201E+41
 54806.488   1.86987789E+42   1.62367272E+41
 54807.371   2.56293313E+42   2.22701534E+41
 54807.375   2.56054121E+42   2.22509399E+41
 54807.379   2.49976108E+42   2.17096539E+41
 54810.461   4.99721538E+42   4.34310450E+41
 54810.465   4.99281916E+42   4.33950268E+41
 54811.430   5.69553630E+42   4.95209153E+41
 54811.434   5.68923484E+42   4.94688384E+41
 54812.445   6.40060824E+42   5.56844692E+41
 54812.449   6.40214614E+42   5.56982483E+41
 54812.453   6.39121317E+42   5.56072334E+41
 54813.434   6.98191890E+42   6.07780594E+41
 54813.438   6.97633586E+42   6.07317094E+41
 54820.543   7.10941279E+42   6.18048186E+41
 54820.547   7.08901539E+42   6.16322677E+41
 54821.527   6.56664184E+42   5.70319492E+41
 54821.531   6.56343103E+42   5.70040592E+41
 54821.535   6.55999947E+42   5.69742986E+41
 54821.539   6.41367912E+42   5.56735499E+41
 54822.422   6.14594898E+42   5.33424945E+41
 54822.426   6.12782939E+42   5.31895126E+41
 54822.430   6.12235607E+42   5.31429663E+41
 54822.434   6.12459326E+42   5.31631583E+41
 54828.520   3.74758667E+42   3.24717148E+41
 54828.523   3.73192595E+42   3.23391136E+41
 54828.527   3.71938587E+42   3.22279891E+41
 54829.254   3.49650897E+42   3.02805237E+41
 54829.258   3.49263365E+42   3.02475424E+41
 54829.262   3.48925043E+42   3.02185315E+41
 54829.266   3.47991833E+42   3.01359062E+41
 54831.488   2.89245397E+42   2.49973501E+41
 54831.492   2.89523888E+42   2.50206158E+41
 54831.496   2.89683813E+42   2.50348748E+41
 54832.461   2.69861590E+42   2.32995377E+41
 54832.465   2.70014115E+42   2.33121461E+41
 54832.469   2.70028219E+42   2.33131602E+41
 54832.473   2.69835399E+42   2.32961619E+41
 54833.367   2.53615927E+42   2.18770540E+41
 54833.371   2.51832262E+42   2.17264666E+41
 54833.375   2.52975267E+42   2.18299272E+41
 54856.332   7.06342846E+41   6.07232409E+40
 54856.336   7.07600683E+41   6.08294349E+40
 54856.340   7.07066281E+41   6.07838253E+40
 54856.344   7.06142146E+41   6.07025104E+40
 54857.293   6.82402860E+41   5.86611598E+40
 54857.305   6.85076202E+41   5.88868920E+40
 54857.316   6.86196355E+41   5.89819704E+40
 54857.328   6.83195804E+41   5.87176461E+40
 54861.309   6.00471716E+41   5.16149825E+40
 54861.316   5.97725627E+41   5.13828045E+40
 54861.324   5.96584833E+41   5.12855789E+40
 54861.332   5.97971025E+41   5.14082029E+40
 54862.281   5.83196656E+41   5.01484667E+40
 54862.285   5.81404405E+41   4.99969985E+40
 54862.289   5.80880927E+41   4.99496268E+40
 54865.223   5.50283503E+41   4.73592558E+40
 54865.227   5.50470392E+41   4.73750832E+40
 54865.230   5.52851991E+41   4.75780807E+40
 54865.234   5.56216441E+41   4.78752900E+40
 54866.316   5.39047037E+41   4.64071668E+40
 54866.320   5.39280867E+41   4.64255369E+40
 54866.324   5.38420586E+41   4.63496768E+40
 54867.312   5.21491362E+41   4.49044993E+40
 54867.316   5.23567140E+41   4.50809805E+40
 54867.320   5.24079784E+41   4.51264867E+40
 54868.312   5.05959110E+41   4.35734353E+40
 54868.316   5.06819899E+41   4.36460526E+40
 54868.320   5.03565390E+41   4.33693053E+40
 54873.203   4.33816558E+41   3.73901026E+40
 54873.207   4.35802010E+41   3.75577906E+40
