#generated on Tue Dec  8 18:23:53 2015 using mklcbol.pro
#
#INFILE   SN2009ad.dat
#NAME     SN2009ad
#AV_HOST  0.083 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.295 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.474 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54879.102   6.11667201E+42   5.03270763E+41
 54881.082   7.39702528E+42   6.09176817E+41
 54881.086   7.39915189E+42   6.09351872E+41
 54881.090   7.40127321E+42   6.09526436E+41
 54881.094   7.40341652E+42   6.09702857E+41
 54882.172   7.91178331E+42   6.51345143E+41
 54882.176   7.92103001E+42   6.52068082E+41
 54882.184   7.92203136E+42   6.52154456E+41
 54882.188   7.84945285E+42   6.45935368E+41
 54883.160   8.27796411E+42   6.80985708E+41
 54883.164   8.28361869E+42   6.81433000E+41
 54883.176   8.29106279E+42   6.82038974E+41
 54883.180   8.35080790E+42   6.87146647E+41
 54884.133   8.70945889E+42   7.16644605E+41
 54884.137   8.68860608E+42   7.15032344E+41
 54884.145   8.67600336E+42   7.14046542E+41
 54884.148   8.66876888E+42   7.13423911E+41
 54888.090   8.76282133E+42   7.20213657E+41
 54888.098   8.75083881E+42   7.19255853E+41
 54888.102   8.67226229E+42   7.12533822E+41
 54889.086   8.51849770E+42   6.99555447E+41
 54889.094   8.51515076E+42   6.99283888E+41
 54889.098   8.51398764E+42   6.99185172E+41
 54890.121   8.31135478E+42   6.82134112E+41
 54890.137   8.25758493E+42   6.77940576E+41
 54890.148   8.23364615E+42   6.76037966E+41
 54890.160   8.17082550E+42   6.70681828E+41
 54904.098   3.47364395E+42   2.82137307E+41
 54904.102   3.46242529E+42   2.81260842E+41
 54904.109   3.45940525E+42   2.81014670E+41
 54904.113   3.44591810E+42   2.79868438E+41
 54907.113   2.88330951E+42   2.33202283E+41
 54907.121   2.87970790E+42   2.32911354E+41
 54907.125   2.87915744E+42   2.32865970E+41
 54908.117   2.71428367E+42   2.19203160E+41
 54908.129   2.70761465E+42   2.18636435E+41
 54909.121   2.56981444E+42   2.07216624E+41
 54909.129   2.56847338E+42   2.07106781E+41
 54909.137   2.57691250E+42   2.07824956E+41
 54913.117   2.13681949E+42   1.71770596E+41
 54913.121   2.13186316E+42   1.71374348E+41
 54913.129   2.14004603E+42   1.72070189E+41
 54914.121   2.04152739E+42   1.64044300E+41
 54914.125   2.04049938E+42   1.63962761E+41
 54914.129   2.04291498E+42   1.64154340E+41
 54914.133   2.04078024E+42   1.63974815E+41
 54915.125   1.95250705E+42   1.56785569E+41
 54915.129   1.96441712E+42   1.57794492E+41
 54915.133   1.96482037E+42   1.57827022E+41
 54919.109   1.55107987E+42   1.24458507E+41
 54919.113   1.53624787E+42   1.23275138E+41
 54919.121   1.52550636E+42   1.22369634E+41
 54920.109   1.44575981E+42   1.15953772E+41
 54920.113   1.44313259E+42   1.15747978E+41
 54920.121   1.47399278E+42   1.18211615E+41
 54920.125   1.47386340E+42   1.18201170E+41
 54931.117   9.66895017E+41   7.77111007E+40
 54931.121   9.66677603E+41   7.76937786E+40
 54931.125   9.66460860E+41   7.76765128E+40
 54934.121   8.14485972E+41   6.56300522E+40
