#generated on Tue Dec  8 18:24:52 2015 using mklcbol.pro
#
#INFILE   SN2009jr.dat
#NAME     SN2009jr
#AV_HOST  0.937 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.353 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.275 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 55117.082   8.28333365E+42   5.51919791E+41
 55119.109   8.55150386E+42   5.69786314E+41
 55119.113   8.55177922E+42   5.69804641E+41
 55119.117   8.55205290E+42   5.69822861E+41
 55120.094   8.59294404E+42   5.72541896E+41
 55120.098   8.60151259E+42   5.73111063E+41
 55120.102   8.59849206E+42   5.72909271E+41
 55122.094   8.47464366E+42   5.64635382E+41
 55122.098   8.46653490E+42   5.64096587E+41
 55122.102   8.47256790E+42   5.64499569E+41
 55126.082   7.61818179E+42   5.07556132E+41
 55126.086   7.62210219E+42   5.07816343E+41
 55126.090   7.61267430E+42   5.07186866E+41
 55127.082   7.26908432E+42   4.84291772E+41
 55127.086   7.25466291E+42   4.83333399E+41
 55127.090   7.25194091E+42   4.83151815E+41
 55128.109   6.84690777E+42   4.56169772E+41
 55128.113   6.88945693E+42   4.58996535E+41
 55128.117   6.89804265E+42   4.59570184E+41
 55131.066   5.72754670E+42   3.81575495E+41
 55131.074   5.61985636E+42   3.74417479E+41
 55131.078   5.53403999E+42   3.68686572E+41
 55136.074   3.90935282E+42   2.60393350E+41
 55136.082   3.74236251E+42   2.49258741E+41
 55141.086   2.99331990E+42   1.99317578E+41
 55141.090   3.01664300E+42   2.00867067E+41
 55141.094   3.03785352E+42   2.02277000E+41
 55141.098   3.00675245E+42   2.00200785E+41
 55143.082   2.85560381E+42   1.90128276E+41
 55143.086   2.85939212E+42   1.90379946E+41
 55143.090   2.86748820E+42   1.90918133E+41
 55143.094   2.91671437E+42   1.94204360E+41
 55145.059   2.74620077E+42   1.82843765E+41
 55145.062   2.74665958E+42   1.82874168E+41
 55145.066   2.71161854E+42   1.80545184E+41
 55145.070   2.62065898E+42   1.74472880E+41
 55151.094   1.82319170E+42   1.21337802E+41
 55151.098   1.81935616E+42   1.21082805E+41
 55151.102   1.82160365E+42   1.21232158E+41
 55151.105   1.80779849E+42   1.20310974E+41
 55153.062   1.62734218E+42   1.08296383E+41
 55153.066   1.60690719E+42   1.06938068E+41
 55153.070   1.62768041E+42   1.08319248E+41
 55153.074   1.64125929E+42   1.09225330E+41
 55158.066   1.34480968E+42   8.95000802E+40
 55158.070   1.34460313E+42   8.94863381E+40
 55158.074   1.34439416E+42   8.94724348E+40
 55158.082   1.34397745E+42   8.94447107E+40
 55159.059   1.29356896E+42   8.60911903E+40
