#generated on Tue Dec  8 18:24:57 2015 using mklcbol.pro
#
#INFILE   SN2009kk.dat
#NAME     SN2009kk
#AV_HOST  0.021 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.361 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.734 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 55127.402   6.13144007E+42   5.04630187E+41
 55130.418   5.79162797E+42   4.75831434E+41
 55130.422   5.79081930E+42   4.75764024E+41
 55130.426   5.78999802E+42   4.75695568E+41
 55133.289   4.97188083E+42   4.08007138E+41
 55133.293   4.96677818E+42   4.07599643E+41
 55133.297   4.94324632E+42   4.05575915E+41
 55134.461   4.55912767E+42   3.73858250E+41
 55134.465   4.55076941E+42   3.73202753E+41
 55134.469   4.54651568E+42   3.72840691E+41
 55135.453   4.24103767E+42   3.47608564E+41
 55135.457   4.24788315E+42   3.48127888E+41
 55135.461   4.22802875E+42   3.46440941E+41
 55144.309   2.17313700E+42   1.75991152E+41
 55144.312   2.18182765E+42   1.76657999E+41
 55144.316   2.18733016E+42   1.77092823E+41
 55150.328   1.46670475E+42   1.17779335E+41
 55150.332   1.47833199E+42   1.18682761E+41
 55150.336   1.47564394E+42   1.18454688E+41
 55151.422   1.37593056E+42   1.10340997E+41
 55151.426   1.37243268E+42   1.10064332E+41
 55151.430   1.36536612E+42   1.09463107E+41
 55153.316   1.20713794E+42   9.67002857E+40
 55153.320   1.21621811E+42   9.74135729E+40
 55153.324   1.22742554E+42   9.83705139E+40
 55155.223   1.09445368E+42   8.77087211E+40
 55155.227   1.08473092E+42   8.69555681E+40
 55155.230   1.07634870E+42   8.62895709E+40
 55155.234   1.07111362E+42   8.58446003E+40
 55158.348   8.75757053E+41   7.03045546E+40
 55158.352   8.75977106E+41   7.03250859E+40
 55158.355   8.78283196E+41   7.05232356E+40
 55160.176   7.85894186E+41   6.31538301E+40
 55160.180   7.90541231E+41   6.35105333E+40
 55160.184   7.90374693E+41   6.34971374E+40
 55176.293   4.51805020E+41   3.64447183E+40
 55176.297   4.52684597E+41   3.65125221E+40
 55176.301   4.52411280E+41   3.64907998E+40
 55176.305   4.50029848E+41   3.62872116E+40
 55181.324   4.04096760E+41   3.26109774E+40
 55181.328   4.04299515E+41   3.26265394E+40
 55181.332   4.05765117E+41   3.27430435E+40
 55181.336   4.05978240E+41   3.27614946E+40
 55182.105   3.98558895E+41   3.21714757E+40
 55182.109   3.98333950E+41   3.21535930E+40
 55182.117   3.98525206E+41   3.21704724E+40
 55185.230   3.67058474E+41   2.96696857E+40
 55185.234   3.67401910E+41   2.96960855E+40
 55185.238   3.66619260E+41   2.96339288E+40
 55185.242   3.65229194E+41   2.95150783E+40
 55208.188   2.14781120E+41   1.74853626E+40
 55208.191   2.15410424E+41   1.75337471E+40
 55208.195   2.15767743E+41   1.75620327E+40
 55208.199   2.15817276E+41   1.75663939E+40
 55242.133   1.02361199E+41   8.40090211E+39
 55242.137   1.02352637E+41   8.40020594E+39
 55242.141   1.02344081E+41   8.39951036E+39
 55244.148   9.80262371E+40   8.04828681E+39
