#generated on Tue Dec  8 18:25:07 2015 using mklcbol.pro
#
#INFILE   SN2009le.dat
#NAME     SN2009le
#AV_HOST  0.237 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.044 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.442 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 55158.250   6.29621448E+42   5.74304162E+41
 55158.254   6.27838147E+42   5.72733921E+41
 55158.258   6.21270540E+42   5.66608461E+41
 55160.145   7.26394761E+42   6.63065606E+41
 55160.148   7.19628615E+42   6.57071443E+41
 55160.152   7.04715070E+42   6.43165377E+41
 55176.195   6.20558144E+42   5.64995772E+41
 55176.207   6.15011906E+42   5.60033411E+41
 55176.215   6.04823504E+42   5.50561498E+41
 55182.125   4.18651058E+42   3.79992989E+41
 55182.129   4.18529293E+42   3.79881645E+41
 55182.133   4.18407697E+42   3.79770466E+41
 55185.156   3.28775791E+42   2.97911084E+41
