#generated on Tue Dec  8 18:25:21 2015 using mklcbol.pro
#
#INFILE   SN2009na.dat
#NAME     SN2009na
#AV_HOST  0.133 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.085 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.806 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 55195.488   5.36959440E+42   5.70355514E+41
 55197.348   6.25242841E+42   6.64892805E+41
 55202.391   7.26117808E+42   7.71478912E+41
 55202.395   7.26093667E+42   7.71451004E+41
 55202.398   7.19469943E+42   7.64113823E+41
 55204.441   6.95192190E+42   7.37295072E+41
 55204.445   6.94955094E+42   7.37048632E+41
 55204.449   6.92696265E+42   7.34550458E+41
 55205.367   6.75394186E+42   7.15839228E+41
 55205.375   6.74902563E+42   7.15299330E+41
 55205.379   6.74689198E+42   7.15074250E+41
 55208.438   5.97959690E+42   6.33098529E+41
 55208.441   5.98526693E+42   6.33663035E+41
 55208.445   5.97368709E+42   6.32479806E+41
 55208.449   6.00147922E+42   6.35557364E+41
 55209.527   5.62289214E+42   5.95354330E+41
 55209.531   5.61688200E+42   5.94736040E+41
 55209.535   5.59288482E+42   5.92089906E+41
 55212.371   4.60260998E+42   4.86270218E+41
 55221.402   2.36740405E+42   2.47592931E+41
 55221.406   2.37884332E+42   2.48744786E+41
 55221.410   2.37074211E+42   2.47909841E+41
 55221.414   2.35745041E+42   2.46455024E+41
 55222.523   2.19624383E+42   2.29392314E+41
 55222.535   2.18549938E+42   2.28221898E+41
 55242.383   7.57108630E+41   7.87156314E+40
 55242.387   7.47670262E+41   7.77597357E+40
 55242.391   7.43097003E+41   7.72883733E+40
 55242.395   7.47791834E+41   7.78009974E+40
 55244.352   7.09577212E+41   7.37980736E+40
 55244.355   7.11742749E+41   7.40172666E+40
 55244.359   7.12542638E+41   7.40994558E+40
 55244.363   7.12634825E+41   7.41097980E+40
 55247.254   6.66508184E+41   6.92900107E+40
 55247.262   6.67429101E+41   6.93830413E+40
 55247.266   6.66642889E+41   6.93020883E+40
 55247.273   6.66537846E+41   6.92910829E+40
 55267.301   4.33131345E+41   4.53822457E+40
 55267.305   4.33096947E+41   4.53788224E+40
 55267.309   4.33505525E+41   4.54206236E+40
 55267.312   4.33470833E+41   4.54171701E+40
