#generated on Tue Dec  8 18:25:25 2015 using mklcbol.pro
#
#INFILE   SN2009nq.dat
#NAME     SN2009nq
#AV_HOST  0.207 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.383 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.179 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 55205.125   7.21278899E+42   5.22473772E+41
 55205.133   7.21162153E+42   5.22387943E+41
 55206.070   7.04958402E+42   5.10512417E+41
 55206.074   7.03906457E+42   5.09762572E+41
 55206.078   7.03824689E+42   5.09702888E+41
 55208.098   6.55371020E+42   4.74371454E+41
 55208.102   6.55713187E+42   4.74613164E+41
 55208.105   6.56234061E+42   4.74998270E+41
 55210.082   5.96823501E+42   4.31773457E+41
 55210.086   5.96625684E+42   4.31633895E+41
 55210.090   5.95384818E+42   4.30720325E+41
 55212.102   5.27146374E+42   3.81169283E+41
 55212.105   5.27009858E+42   3.81070236E+41
 55212.109   5.26873690E+42   3.80971438E+41
 55214.105   4.56371798E+42   3.29856869E+41
