#generated on Tue Dec  8 18:25:34 2015 using mklcbol.pro
#
#INFILE   SN2010H.dat
#NAME     SN2010H
#AV_HOST  0.098 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.080 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.094 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 55221.395   5.16601309E+42   6.27535679E+41
 55241.105   1.30655566E+42   1.54848622E+41
 55241.109   1.30611057E+42   1.54795652E+41
 55241.113   1.30566303E+42   1.54742396E+41
 55241.117   1.30521565E+42   1.54689158E+41
 55242.227   1.18306263E+42   1.40165639E+41
 55242.230   1.17467218E+42   1.39203062E+41
 55242.234   1.17377035E+42   1.39096736E+41
 55242.238   1.16787262E+42   1.38356469E+41
 55244.219   9.93115880E+41   1.17656294E+41
 55244.223   1.00597288E+42   1.19126546E+41
 55244.227   1.00433107E+42   1.18933646E+41
 55244.230   1.02001290E+42   1.20912766E+41
 55247.199   8.50992429E+41   1.00879994E+41
 55247.203   8.50801299E+41   1.00857349E+41
 55247.207   8.50607888E+41   1.00834446E+41
 55247.211   8.54060111E+41   1.01271875E+41
 55267.176   4.19903198E+41   5.00975625E+40
 55267.184   4.19833535E+41   5.00892639E+40
