#generated on Tue Dec  8 19:00:44 2015 using mklcbol.pro
#
#INFILE   SN2010Y.dat
#NAME     SN2010Y
#AV_HOST  -0.018 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.036 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.365 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 55239.301   1.25120281E+42   8.14870143E+40
 55241.141   1.88066749E+42   1.22482125E+41
 55241.145   1.88208285E+42   1.22574303E+41
 55241.148   1.88349824E+42   1.22666483E+41
 55242.418   2.34267859E+42   1.52571496E+41
 55242.422   2.34165902E+42   1.52505094E+41
 55242.426   2.35335585E+42   1.53266873E+41
 55243.508   2.68012754E+42   1.74548514E+41
 55243.512   2.68455267E+42   1.74836709E+41
 55243.516   2.67754481E+42   1.74380309E+41
 55244.367   2.90529964E+42   1.89213285E+41
 55244.371   2.90124357E+42   1.88949125E+41
 55244.375   2.89840533E+42   1.88764279E+41
 55244.379   2.89533446E+42   1.88564283E+41
 55245.445   3.09311124E+42   2.01444880E+41
 55245.449   3.09312960E+42   2.01446076E+41
 55245.453   3.09205672E+42   2.01376202E+41
 55245.457   3.10138387E+42   2.01983651E+41
 55247.316   3.36563726E+42   2.19193667E+41
 55247.324   3.36150478E+42   2.18924531E+41
 55247.328   3.35544565E+42   2.18529918E+41
 55247.340   3.32550072E+42   2.16579697E+41
 55251.379   3.13807478E+42   2.04373218E+41
 55251.383   3.13222539E+42   2.03992265E+41
 55251.387   3.12648385E+42   2.03618336E+41
 55251.391   3.05155904E+42   1.98738712E+41
 55257.492   1.87699913E+42   1.22243216E+41
 55257.496   1.87006725E+42   1.21791764E+41
 55258.211   1.75146309E+42   1.14067437E+41
 55258.215   1.75522024E+42   1.14312129E+41
 55258.219   1.70562501E+42   1.11082143E+41
 55261.324   1.32964458E+42   8.65956872E+40
 55261.328   1.32095183E+42   8.60295546E+40
 55261.332   1.32289459E+42   8.61560809E+40
 55261.336   1.31028745E+42   8.53350164E+40
 55266.305   8.58626177E+41   5.59196983E+40
 55266.309   8.60376626E+41   5.60336996E+40
 55267.246   8.04035903E+41   5.23644006E+40
 55267.250   8.09369359E+41   5.27117523E+40
 55267.254   8.08330191E+41   5.26440744E+40
 55267.258   8.06059933E+41   5.24962195E+40
 55268.250   7.45154637E+41   4.85296437E+40
 55268.254   7.43812094E+41   4.84422080E+40
 55268.258   7.48786259E+41   4.87661601E+40
 55270.246   6.28902819E+41   4.09585182E+40
 55270.250   6.29615042E+41   4.10049031E+40
 55270.254   6.23851051E+41   4.06295120E+40
 55271.348   5.67817796E+41   3.69802373E+40
 55271.352   5.70269220E+41   3.71398911E+40
 55276.258   4.07987884E+41   2.65710038E+40
 55276.262   4.11083082E+41   2.67725845E+40
 55276.266   4.13717838E+41   2.69441781E+40
 55276.270   4.14657925E+41   2.70054031E+40
 55287.160   2.75907691E+41   1.79690245E+40
 55287.164   2.79574662E+41   1.82078431E+40
 55287.168   2.81940562E+41   1.83619270E+40
 55287.172   2.80112627E+41   1.82428792E+40
 55289.270   2.65213518E+41   1.72725457E+40
 55289.273   2.64933642E+41   1.72543183E+40
 55289.277   2.64830872E+41   1.72476252E+40
 55289.281   2.65595240E+41   1.72974061E+40
 55291.273   2.51537970E+41   1.63818991E+40
 55291.277   2.51323225E+41   1.63679134E+40
 55291.281   2.52588464E+41   1.64503146E+40
 55291.285   2.53012200E+41   1.64779112E+40
 55295.148   2.26907629E+41   1.47778003E+40
 55295.152   2.28300725E+41   1.48685284E+40
 55295.156   2.27730729E+41   1.48314063E+40
 55295.160   2.29473256E+41   1.49448917E+40
 55297.164   2.03455583E+41   1.32504402E+40
 55297.168   2.03402579E+41   1.32469882E+40
 55297.172   2.03348522E+41   1.32434676E+40
 55299.152   1.75460509E+41   1.14272066E+40
