#generated on Sun Dec 27 18:13:13 2015 using mklcbol.pro
#
#INFILE   SN2007ax_bol.dat
#NAME     SN2007ax
#AV_HOST  0.000 +/- 0.083
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.140 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 32.200 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54185.051   8.29147655E+41   5.39998523E+40
 54190.105   1.03575025E+42   6.74552477E+40
 54191.098   1.02988318E+42   6.70731432E+40
 54194.008   8.73143565E+41   5.68651714E+40
 54196.031   8.19496041E+41   5.33712721E+40
 54197.051   7.44552962E+41   4.84904585E+40
 54206.984   3.72104354E+41   2.42340191E+40
 54212.965   2.38023112E+41   1.55017177E+40
 54218.004   1.62460770E+41   1.05805733E+40
 54218.965   1.49871617E+41   9.76068028E+39
 54221.969   1.29077834E+41   8.40644477E+39
 54223.961   1.18862480E+41   7.74114996E+39
 54228.969   9.31189447E+40   6.06455223E+39
 54229.961   8.91854888E+40   5.80837826E+39
