#generated on Mon Feb  9 18:20:57 2015 using mklcbol.pro
#
#INFILE   SN2005hc_bol.dat
#NAME     SN2005hc
#AV_HOST  0.220 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.087 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.499 +/- 0.000
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53662.195   1.22620437E+43   7.24965113E+41
 53663.168   1.27797709E+43   7.56178754E+41
 53664.141   1.31696629E+43   7.79783656E+41
 53665.141   1.33971678E+43   7.93719756E+41
 53666.203   1.34665102E+43   7.98219828E+41
 53668.137   1.33167376E+43   7.89676256E+41
 53669.137   1.30535578E+43   7.74482415E+41
 53670.172   1.27283572E+43   7.55557727E+41
 53671.219   1.23215448E+43   7.31968082E+41
 53672.227   1.18550965E+43   7.05426076E+41
 53673.199   1.13591696E+43   6.76437978E+41
 53674.262   1.08224791E+43   6.44376402E+41
 53675.184   1.02344072E+43   6.09232465E+41
 53676.242   9.61891468E+42   5.72471438E+41
 53682.230   6.45712525E+42   3.83162545E+41
 53684.184   5.74233195E+42   3.40296269E+41
 53685.195   5.46483861E+42   3.23403048E+41
 53687.188   5.00979478E+42   2.95913797E+41
 53690.203   4.48727518E+42   2.64324330E+41
