#generated on Mon Feb  9 17:58:04 2015 using mklcbol.pro
#
#INFILE   SN2008gp_bol.dat
#NAME     SN2008gp
#AV_HOST  0.090 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.322 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.795 +/- 0.000
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54772.273   9.95053629E+42   1.79447539E+41
 54776.211   1.26363250E+43   2.28526872E+41
 54778.289   1.30603220E+43   2.36284052E+41
 54779.258   1.28678220E+43   2.32779743E+41
 54780.242   1.27424643E+43   2.30445769E+41
 54781.238   1.24745717E+43   2.25524543E+41
 54783.227   1.18263451E+43   2.13765001E+41
 54784.234   1.13370101E+43   2.05327702E+41
 54786.328   1.01589186E+43   1.84114119E+41
 54790.223   7.67685284E+42   1.39090745E+41
 54791.242   7.10492158E+42   1.28739172E+41
 54792.176   6.61534168E+42   1.19828827E+41
 54793.191   6.14719106E+42   1.11287809E+41
 54794.234   5.73712244E+42   1.03773507E+41
 54795.223   5.38612236E+42   9.73408922E+40
 54800.227   4.24648019E+42   7.62284565E+40
 54801.266   4.10868461E+42   7.36812383E+40
 54802.211   4.03550321E+42   7.23221464E+40
 54803.285   3.90503969E+42   6.99234079E+40
 54806.219   3.52690894E+42   6.29983411E+40
 54808.223   3.29513772E+42   5.87860250E+40
 54809.188   3.17544955E+42   5.66197622E+40
 54810.195   3.03853267E+42   5.41449309E+40
 54812.090   2.73669609E+42   4.88078371E+40
 54813.117   2.57710471E+42   4.59020496E+40
