#generated on Mon Feb  9 17:45:56 2015 using mklcbol.pro
#
#INFILE   SN2008hv_bol.dat
#NAME     SN2008hv
#AV_HOST  0.100 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.087 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.847 +/- 0.000
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54806.281   2.69682599E+42   1.18081396E+41
 54808.297   5.18230183E+42   2.27560297E+41
 54809.285   6.46674792E+42   2.84115940E+41
 54810.289   7.58238481E+42   3.33182740E+41
 54811.293   8.55074406E+42   3.75822967E+41
 54812.270   9.36605662E+42   4.12107074E+41
 54813.285   9.93385705E+42   4.37603744E+41
 54815.328   1.06089267E+43   4.68632215E+41
 54817.262   1.03614495E+43   4.58334644E+41
 54818.258   1.00486231E+43   4.44810283E+41
 54822.305   8.06174937E+42   3.57834802E+41
 54827.250   5.61995874E+42   2.49814852E+41
 54828.285   5.18981952E+42   2.30803749E+41
 54829.234   4.83141045E+42   2.14753646E+41
 54830.227   4.45941462E+42   1.98056995E+41
 54831.262   4.17584138E+42   1.85294523E+41
 54833.266   3.77099762E+42   1.66667594E+41
 54834.320   3.59440215E+42   1.58614422E+41
 54837.297   3.26900232E+42   1.43764026E+41
 54838.293   3.16076855E+42   1.38880530E+41
 54839.180   3.05100179E+42   1.33834317E+41
 54840.230   2.90390852E+42   1.27203547E+41
 54841.234   2.74541881E+42   1.20091745E+41
 54842.348   2.55914051E+42   1.11761092E+41
 54844.273   2.27396045E+42   9.90845145E+40
 54849.273   1.69437602E+42   7.40364718E+40
 54854.270   1.32282521E+42   5.78846553E+40
 54856.246   1.22180335E+42   5.35335975E+40
 54867.203   8.46510283E+41   3.73351857E+40
 54868.148   8.21248457E+41   3.62508467E+40
 54870.164   7.72739718E+41   3.41320178E+40
 54874.129   6.90918250E+41   3.05503879E+40
 54875.137   6.72587976E+41   2.97504187E+40
 54878.141   6.25967377E+41   2.77101745E+40
 54884.164   5.39034723E+41   2.38818533E+40
 54887.160   5.01751768E+41   2.22009579E+40
 54889.168   4.76602932E+41   2.10850469E+40
 54895.078   4.08719687E+41   1.80803518E+40
