#generated on Tue Mar  1 18:18:11 2016 using mklcbol.pro
#
#INFILE   SN2005eq_bol.dat
#NAME     SN2005eq
#AV_HOST  0.136 +/- 0.074
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.195 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.470 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53650.285   9.45776437E+42   2.01281351E+42
 53655.266   9.77898481E+42   2.08106141E+42
 53658.199   9.16584200E+42   1.95043911E+42
 53659.172   8.93247212E+42   1.90078371E+42
 53662.250   7.97113560E+42   1.69621424E+42
 53663.223   7.53375584E+42   1.60315177E+42
 53665.195   6.69619031E+42   1.42497401E+42
 53666.254   6.23235303E+42   1.32619555E+42
 53669.219   5.03811830E+42   1.07135570E+42
 53671.262   4.37084162E+42   9.28429641E+41
 53673.266   3.81331138E+42   8.08737666E+41
 53675.230   3.36704692E+42   7.12898157E+41
 53682.277   2.34293245E+42   4.93410808E+41
 53683.227   2.27118584E+42   4.78007002E+41
 53687.242   1.89849570E+42   3.98838335E+41
 53694.215   1.32606212E+42   2.78306722E+41
 53698.160   1.12742351E+42   2.36805095E+41
 53699.191   1.08723147E+42   2.28383865E+41
 53707.242   8.73887718E+41   1.83890873E+41
 53712.164   7.93474450E+41   1.67214628E+41
