#generated on Tue Mar  1 18:18:56 2016 using mklcbol.pro
#
#INFILE   SN2006ax_bol.dat
#NAME     SN2006ax
#AV_HOST  0.050 +/- 0.047
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.127 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.460 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53815.125   2.49247125E+42   6.08924110E+41
 53816.270   3.53562408E+42   8.63783442E+41
 53818.184   5.63988291E+42   1.37784032E+42
 53819.211   6.76586862E+42   1.65314507E+42
 53821.098   8.57383593E+42   2.09527172E+42
 53823.160   1.00307310E+43   2.45217292E+42
 53824.160   1.04958213E+43   2.56618677E+42
 53828.016   1.09512357E+43   2.67836356E+42
 53831.133   9.98646247E+42   2.44218565E+42
 53832.137   9.51755255E+42   2.32743701E+42
 53834.223   8.50404185E+42   2.07931463E+42
 53835.066   8.00499431E+42   1.95734986E+42
 53838.156   6.36391581E+42   1.55617633E+42
 53840.117   5.52629531E+42   1.35073798E+42
 53841.176   5.10296980E+42   1.24659675E+42
 53845.059   3.86570642E+42   9.41168989E+41
 53850.113   2.84172537E+42   6.88411699E+41
 53858.059   1.85962844E+42   4.48102559E+41
 53861.055   1.60443599E+42   3.86588275E+41
 53866.047   1.26186906E+42   3.04312247E+41
 53867.113   1.20393358E+42   2.90395372E+41
 53870.062   1.09772937E+42   2.65008814E+41
 53871.031   1.07161609E+42   2.58745950E+41
